,FPL_ID,FPL_Name,Understat_ID,Understat_Name
150,30,Danny Ings,986,Danny Ings
151,254,Danny Ward,473,Danny Ward
152,103,Danny Welbeck,501,Danny Welbeck
153,358,Dan Burn,7382,Dan Burn
154,247,Darko Gyabi,10752,Darko Gyabi
155,571,Darren Randolph,,
156,297,Darwin Núñez Ribeiro,,
157,684,David Datro Fofana,11295,David Datro Fofana
158,60,David Brooks,6820,David Brooks
159,327,David De Gea Quintana,,
160,676,David Ozoh,11268,David Ozoh
161,81,David Raya Martin,,
162,435,Davinson Sánchez,6249,Davinson Sánchez
163,398,Dean Henderson,7702,Dean Henderson
164,467,Declan Rice,5553,Declan Rice
165,446,Dejan Kulusevski,6691,Dejan Kulusevski
166,181,Dele Alli,645,Dele Alli
167,189,Demarai Gray,762,Demarai Gray
168,616,Denis Zakaria,6147,Denis Zakaria
169,123,Deniz Undav,10804,Deniz Undav
170,549,Dennis Praet,1234,Dennis Praet
171,664,Dexter Lembikisa,11233,Dexter Lembikisa
172,50,Diego Carlos Santos Silva,,
173,625,Diego Da Silva Costa,,
174,228,Diego Llorente,2163,Diego Llorente
175,342,Diogo Dalot Teixeira,,
176,743,Diogo Pinheiro Monteiro,,
177,288,Diogo Teixeira da Silva,,
178,669,Divin Mubama,11242,Divin Mubama
179,522,Djed Spence,10764,Djed Spence
180,770,Dominic Ballard,11583,Dominic Ballard
181,191,Dominic Calvert-Lewin,5555,Dominic Calvert-Lewin
182,697,Dominic Sadi,,
183,66,Dominic Solanke,1679,Dominic Solanke
184,98,Dominic Thompson,,
185,336,Donny van de Beek,8821,Donny van de Beek
186,46,Douglas Luiz Soares de Paulo,,
187,623,Duje Caleta-Car,7007,Duje Caleta-Car
188,361,Dwight Gayle,,
189,534,Dwight McNeil,6756,Dwight McNeil
190,169,Eberechi Eze,8706,Eberechi Eze
191,11,Eddie Nketiah,6482,Eddie Nketiah
192,307,Ederson Santana de Moraes,,
193,147,Edouard Mendy,6880,Edouard Mendy
194,640,Ed Turns,,
195,627,Eldin Jakupovic,,
196,100,Ellery Balcombe,,
197,552,Elliot Anderson,9154,Elliot Anderson
198,686,Ellis Simms,8582,Ellis Simms
199,445,Emerson Leite de Souza Junior,,
200,545,Emerson Palmieri dos Santos,,
201,12,Emile Smith Rowe,,
202,42,Emiliano Buendía Stati,,
203,63,Emiliano Marcondes,10745,Emiliano Marcondes
204,31,Emiliano Martínez Romero,,
