,Unnamed: 0,FPL_ID,FPL_Name,Understat_ID,Understat_Name
327,327,606,Igor Julio dos Santos de Paulo,7943,Igor Julio
328,328,486,Iliman Ndiaye,,
330,330,607,Ionuț Radu,1830,Ionut Radu
331,331,413,Isaac Hayden,,
332,332,819,Ishé Samuels-Smith,,
333,333,478,Ismaila Coulibaly,,
335,335,602,Issa Kaboré,9619,Issa Kabore
336,336,269,Ivan Neves Abreu Cavaleiro,,
337,337,507,Ivan Perišić,448,Ivan Perisic
345,345,338,Jack Walton,,
350,350,814,Jacob Wright,,
351,351,724,Jadan Raymond,,
356,356,235,Jake O'Brien,,
369,369,817,James Sweet,,
374,374,778,James Wright,,
376,376,779,Jamie McDonnell,,
383,383,422,Javier Manquillo Gaitán,1719,Javier Manquillo
386,386,729,Jayden Luker,,
389,389,251,Jean-Philippe Gbamin,,
392,392,231,Jefferson Lerma Solís,2182,Jefferson Lerma
394,394,414,Jeff Hendrick,,
395,395,760,Jenson Metcalfe,,
396,396,146,Jeremy Sarmiento Morante,10036,Jeremy Sarmiento
399,399,725,Ji-Soo Kim,,
400,400,731,Jili Buyabu,,
403,403,416,Joelinton Cássio Apolinário de Lira,87,Joelinton
406,406,781,Joe Gardner,,
407,407,818,Joe Gauci,,
408,408,298,Joe Gomez,,
409,409,555,Joe Hodge,,
410,410,748,Joe Hugill,,
411,411,510,Joe Rodon,,
413,413,336,Joe Taylor,,
415,415,243,Joe Whitworth,,
418,418,658,John-Kymani Gordon,,
421,421,324,John McAtee,,
424,424,560,Jonathan Castro Otto,,
425,425,460,Jonathan Panzo,,
428,428,472,Jordan Amissah,,
430,430,160,Jordan Beyer,,
434,434,9,Jorge Luiz Frello Filho,1389,Jorginho
435,435,647,Joseph Anang,,
437,437,747,Joshua Duffus,,
438,438,810,Joshua King,,
440,440,440,Josh Bowler,,
441,441,723,Josh Brooking,,
445,445,637,Josh Powell,,
446,446,569,José Malheiro de Sá,9740,José Sá
447,447,135,João Pedro Junqueira de Jesus,8272,João Pedro
448,448,559,João Victor Gomes da Silva,11384,João Gomes
450,450,266,João Neves Virgínia,,
451,451,280,João Palhinha Gonçalves,10715,João Palhinha
453,453,616,Joško Gvardiol,9790,Josko Gvardiol
457,457,751,Justin Hubner,,
459,459,678,Jérémy Doku,8981,Jéremy Doku
460,460,170,Jóhann Berg Gudmundsson,1663,Johann Berg Gudmundsson
461,461,137,Kacper Kozłowski,,
462,462,865,Kadan Young,,
463,463,825,Kaden Rodney,,
466,466,793,Kaine Kesler-Hayden,9409,Kaine Hayden
470,470,408,Karl Darlow,,
471,471,646,Karl Hein,,
473,473,39,Keinan Davis,,
474,474,431,Kell Watts,,
476,476,187,Kepa Arrizabalaga,5061,Kepa
480,480,556,Ki-Jana Hoever,,
481,481,852,Kiano Dyer,,
485,485,147,Kjell Scherpen,,
489,489,45,Kortney Hause,,
490,490,796,Kristian Sekularac,,
494,494,866,Lander Emery,,
495,495,181,Lawrence Vigouroux,,
498,498,753,Leigh Kavanagh,,
501,501,758,Leo Castledine,,
502,502,613,Lesley Ugochukwu,,
508,508,812,Lewis Koumas,,
510,510,458,Lewis O'Brien,10759,Lewis O&#039;Brien
511,511,773,Lewis Orford,,
517,517,654,Louie Marsh,,
518,518,339,Louie Watson,,
519,519,856,Louis Jackson,,
520,520,454,Loïc Mbe Soh,,
521,521,659,Lucas Bergström,,
523,523,539,Lucas Tolentino Coelho de Lima,7365,Lucas Paquetá
524,524,755,Luca Barrington,,
526,526,625,Luc De Fougerolles,,
531,531,726,Luke Chambers,,
532,532,550,Luke Cundle,,
533,533,322,Luke Freeman,,
535,535,171,Luke McNally,,
536,536,237,Luke Plange,,
540,540,719,Mackenzie Hunt,,
541,541,315,Mads Juel Andersen,11715,Mads Andersen
543,543,94,Mads Bidstrup,,
544,544,114,Mads Roerslev Rasmussen,9685,Mads Roerslev
545,545,762,Mahamadou Susoho,,
547,547,214,Malang Sarr,,
551,551,159,Manuel Benson Hedilazio,11702,Benson Manuel
553,553,756,Marcelo de Araújo Pitaluga Filho,,
555,555,192,Marcus Bettinelli,,
556,556,11,Marcus Oliveira Alencar,,
559,559,198,Marc Cucurella Saseta,,
560,560,228,Marc Guéhi,7603,Marc Guehi
564,564,411,Mark Gillespie,,
568,568,14,Martin Ødegaard,2517,Martin Odegaard
573,573,356,Mateo Kovačić,2254,Mateo Kovacic
574,574,566,Matheus Luiz Nunes,11000,Matheus Nunes
575,575,615,Matheus França de Oliveira,12152,Matheus França
576,576,590,Matheus Santos Carneiro Da Cunha,7080,Matheus Cunha
578,578,121,Mathias Jorgensen,6030,Zanka
579,579,571,Matija Šarkić,,
580,580,97,Matthew Cox,,
581,581,652,Matthew Dibley-Dias,,
582,582,749,Matthew Whittingham,,
583,583,36,Matty Cash,,
585,585,323,Matt Macey,,
590,590,815,Mauro Bandeira,,
591,591,806,Maxime Esteve,,
595,595,802,Max Kinsey-Wellings,,
596,596,802,Max Kinsey,,
598,598,771,Micah Hamilton,,
599,599,849,Michael Dacosta Gonzalez,,
606,606,620,Michale Olakigbe,,
607,607,136,Michał Karbownik,,
609,609,402,Miguel Almirón Rejala,7420,Miguel Almirón
614,614,444,Mohamed Dräger,,
618,618,126,Moisés Caicedo Corozo,9453,Moisés Caicedo
623,623,457,Moussa Niakhaté,5989,Moussa Niakhate
624,624,696,Murillo Santiago Costa dos Santos,12123,Murillo
626,626,764,Myles Lewis-Skelly,,
637,637,522,Nayef Aguerd,6935,Naif Aguerd
642,642,16,Nicolas Pépé,,
644,644,672,Nicolò Zaniolo,,
645,645,543,Nikola Vlašić,,
646,646,800,Noha Lemina,,
648,648,691,Norberto Bercique Gomes Betuncal,9983,Beto
649,649,77,Norberto Murara Neto,1297,Neto
650,650,861,Noël Atom,,
651,651,23,Nuno Varela Tavares,9691,Nuno Tavares
652,652,572,Nélson Cabral Semedo,6163,Nélson Semedo
655,655,710,Odysseas Vlachodimos,375,Odisseas Vlachodimos
660,660,784,Oliver Scarles,,
662,662,686,Oliwier Zych,,
663,663,820,Ollie Harrison,,
665,665,604,Olu Aina,,
668,668,461,Omar Richards,,
672,672,622,Owen Dodgson,,
673,673,857,Owen Hampson,,
674,674,769,Owen Hesketh,,
675,675,534,Pablo Fornals Malla,,
677,677,513,Pape Matar Sarr,,
681,681,567,Pedro Lomba Neto,,
684,684,131,Pervis Estupiñán,5136,Estupiñán
685,685,38,Philippe Coutinho Correia,488,Philippe Coutinho
690,690,669,Radek Vítek,,
693,693,395,Raphaël Varane,2245,Raphael Varane
695,695,545,Rayan Aït-Nouri,6674,Rayan Ait Nouri
702,702,736,Reuell Walters,,
704,704,768,Rhys Bennett,,
706,706,509,Richarlison de Andrade,6026,Richarlison
707,707,452,Richie Laryea,,
715,715,809,Rodrigo Duarte Ribeiro,12418,Rodrigo Ribeiro
716,716,365,Rodrigo Hernandez,,
717,717,279,Rodrigo Muniz Carvalho,2496,Rodri
719,719,207,Romelu Lukaku Bolingoli,,
720,720,667,Roméo Lavia,10004,Romeo Lavia
721,721,717,Ronnie Stutter,,
722,722,842,Roshaun Mathurin,,
727,727,553,Ryan Giles,,
731,731,118,Ryan Trevitt,,
733,733,350,Rúben Gato Alves Dias,8961,Rúben Dias
734,734,18,Rúnar Alex Rúnarsson,,
736,736,158,Samuel Bastien,,
737,737,843,Samy Chouchane,,
740,740,765,Sam Proctor,,
746,746,525,Saïd Benrahma,,
747,747,276,Saša Lukić,1537,Sasa Lukic
748,748,347,Scott Carson,,
751,751,180,Scott Twine,,
754,754,312,Sepp van den Berg,,
758,758,95,Sergi Canós Tenés,1078,Sergi Canos
761,761,399,Shola Shoretire,,
766,766,516,Son Heung-min,453,Son Heung-Min
769,769,123,Steven Alzate,,
770,770,692,Steven Benda,,
777,777,505,Tanguy Ndombélé Alvaro,,
780,780,848,Taylan Harris,,
781,781,763,Tayo Adaramola,,
782,782,847,Teddy Sharman-Lowe,,
784,784,858,Ted Curd,,
785,785,853,Temple Ojinnaka,,
786,786,274,Terence Kongolo,,
787,787,310,Thiago Alcántara do Nascimento,229,Thiago Alcántara
