card_names,card_odds,contest
Gabriel Magalhaes CM,7 - 10,Arsenal v Brighton
Jurrien Timber CM,7 - 10,Arsenal v Brighton
Bukayo Saka CM,6 - 9,Arsenal v Brighton
William Saliba CM,5 - 8,Arsenal v Brighton
Viktor Gyokeres CM,3 - 6,Arsenal v Brighton
Leandro Trossard CM,3 - 6,Arsenal v Brighton
Ethan Nwaneri CM,3 - 6,Arsenal v Brighton
Martin Odegaard CM,3 - 6,Arsenal v Brighton
Noni Madueke CM,3 - 6,Arsenal v Brighton
Gabriel Martinelli CM,2.5 - 5,Arsenal v Brighton
Kepa Arrizabalaga CM,3 - 6,Arsenal v Brighton
Eberechi Eze CM,2 - 4,Arsenal v Brighton
David Raya CM,2.5 - 5,Arsenal v Brighton
Joel Veltman CM,15 - 19,Arsenal v Brighton
Jan Paul van Hecke CM,15 - 19,Arsenal v Brighton
Mats Wieffer CM,15 - 19,Arsenal v Brighton
Diego Coppola CM,15 - 19,Arsenal v Brighton
Olivier Boscagli CM,13 - 17,Arsenal v Brighton
Lewis Dunk CM,13 - 17,Arsenal v Brighton
James Milner CM,13 - 17,Arsenal v Brighton
Diego Gomez CM,11 - 15,Arsenal v Brighton
Maxime De Cuyper CM,9 - 13,Arsenal v Brighton
Jack Hinshelwood CM,9 - 13,Arsenal v Brighton
Ferdi Kadioglu CM,8 - 12,Arsenal v Brighton
Charalampos Kostoulas CM,8 - 12,Arsenal v Brighton
Tom Watson CM,7 - 11,Arsenal v Brighton
Bart Verbruggen CM,10 - 14,Arsenal v Brighton
Georginio Rutter CM,7 - 10,Arsenal v Brighton
Yasin Ayari CM,7 - 10,Arsenal v Brighton
Yankuba Minteh CM,7 - 10,Arsenal v Brighton
Danny Welbeck CM,6 - 9,Arsenal v Brighton
Brajan Gruda CM,6 - 9,Arsenal v Brighton
Kaoru Mitoma CM,2.5 - 5,Arsenal v Brighton
Jason Steele CM,2.5 - 5,Arsenal v Brighton
Kevin Schade CM,13 - 17,Brentford v Bournemouth
Igor Thiago CM,12 - 16,Brentford v Bournemouth
Aaron Hickey CM,12 - 16,Brentford v Bournemouth
Yehor Yarmolyuk CM,10 - 14,Brentford v Bournemouth
Jordan Henderson CM,10 - 14,Brentford v Bournemouth
Mathias Jensen CM,9 - 13,Brentford v Bournemouth
Sepp van den Berg CM,9 - 13,Brentford v Bournemouth
Nathan Collins CM,9 - 13,Brentford v Bournemouth
Kristoffer Ajer CM,9 - 13,Brentford v Bournemouth
Vitaly Janelt CM,8 - 12,Brentford v Bournemouth
Michael Kayode CM,8 - 12,Brentford v Bournemouth
Keane Lewis-Potter CM,7 - 10,Brentford v Bournemouth
Ethan Pinnock CM,7 - 10,Brentford v Bournemouth
Rico Henry CM,6 - 9,Brentford v Bournemouth
Mikkel Damsgaard CM,5 - 8,Brentford v Bournemouth
Caoimhin Kelleher CM,3 - 6,Brentford v Bournemouth
Marcos Senesi CM,22 - 26,Brentford v Bournemouth
Lewis Cook CM,21 - 25,Brentford v Bournemouth
Ryan Christie CM,16 - 20,Brentford v Bournemouth
Adam Smith CM,15 - 19,Brentford v Bournemouth
Justin Kluivert CM,15 - 19,Brentford v Bournemouth
Julio Soler CM,15 - 19,Brentford v Bournemouth
David Brooks CM,13 - 17,Brentford v Bournemouth
Bafode Diakite CM,11 - 15,Brentford v Bournemouth
Antoine Semenyo CM,11 - 15,Brentford v Bournemouth
Alex Scott CM,11 - 15,Brentford v Bournemouth
Alex Jimenez CM,11 - 15,Brentford v Bournemouth
Adrien Truffert CM,11 - 15,Brentford v Bournemouth
Amine Adli CM,10 - 14,Brentford v Bournemouth
James Hill CM,10 - 14,Brentford v Bournemouth
Enes Unal CM,9 - 13,Brentford v Bournemouth
Marcus Tavernier CM,9 - 13,Brentford v Bournemouth
Evanilson CM,7 - 11,Brentford v Bournemouth
Eli Junior Kroupi CM,6 - 9,Brentford v Bournemouth
Djordje Petrovic CM,5 - 8,Brentford v Bournemouth
Florentino Luis CM,13 - 17,Burnley v Everton
Lesley Ugochukwu CM,13 - 17,Burnley v Everton
Josh Cullen CM,12 - 16,Burnley v Everton
Josh Laurent CM,11 - 15,Burnley v Everton
Joe Worrall CM,11 - 15,Burnley v Everton
Jaidon Anthony CM,9 - 13,Burnley v Everton
Lucas Pires CM,9 - 13,Burnley v Everton
Oliver Sonne CM,9 - 13,Burnley v Everton
Kyle Walker CM,8 - 12,Burnley v Everton
Hjalmar Ekdal CM,7 - 10,Burnley v Everton
Zian Flemming CM,7 - 10,Burnley v Everton
Quilindschy Hartman CM,7 - 10,Burnley v Everton
Loum Tchaouna CM,7 - 10,Burnley v Everton
Maxime Esteve CM,6 - 9,Burnley v Everton
Mike Tresor CM,5 - 8,Burnley v Everton
Marcus Edwards CM,5 - 8,Burnley v Everton
Armando Broja CM,5 - 8,Burnley v Everton
Jacob Bruun Larsen CM,5 - 8,Burnley v Everton
Martin Dubravka CM,3 - 6,Burnley v Everton
Tim Iroegbunam CM,15 - 19,Burnley v Everton
Elijah Campbell CM,13 - 17,Burnley v Everton
James Garner CM,11 - 15,Burnley v Everton
Jack Grealish CM,10 - 14,Burnley v Everton
James Tarkowski CM,10 - 14,Burnley v Everton
Thierno Barry CM,9 - 13,Burnley v Everton
Charly Alcaraz CM,9 - 13,Burnley v Everton
Merlin Rohl CM,9 - 13,Burnley v Everton
Nathan Patterson CM,9 - 13,Burnley v Everton
Adam Aznou CM,9 - 13,Burnley v Everton
Reece Welch CM,9 - 13,Burnley v Everton
Tyler Dibling CM,7 - 10,Burnley v Everton
Vitaliy Mykolenko CM,7 - 10,Burnley v Everton
Jake O'Brien CM,7 - 10,Burnley v Everton
Michael Keane CM,7 - 10,Burnley v Everton
Dwight McNeil CM,5 - 8,Burnley v Everton
Beto CM,4 - 7,Burnley v Everton
Jordan Pickford CM,6 - 9,Burnley v Everton
Casemiro CM,18 - 22,Man Utd v Newcastle
Tyrell Malacia CM,17 - 21,Man Utd v Newcastle
Luke Shaw CM,13 - 17,Man Utd v Newcastle
Lisandro Martinez CM,12 - 16,Man Utd v Newcastle
Ayden Heaven CM,12 - 16,Man Utd v Newcastle
Manuel Ugarte CM,11 - 15,Man Utd v Newcastle
Diogo Dalot CM,10 - 14,Man Utd v Newcastle
Patrick Dorgu CM,9 - 13,Man Utd v Newcastle
Leny Yoro CM,9 - 13,Man Utd v Newcastle
Matheus Cunha CM,8 - 12,Man Utd v Newcastle
Mason Mount CM,8 - 12,Man Utd v Newcastle
Jack Fletcher CM,7 - 10,Man Utd v Newcastle
Benjamin Sesko CM,5 - 8,Man Utd v Newcastle
Joshua Zirkzee CM,5 - 8,Man Utd v Newcastle
Senne Lammens CM,3 - 6,Man Utd v Newcastle
Bruno Guimaraes CM,16 - 20,Man Utd v Newcastle
