player_id,first_name,second_name,position_id,position,team_id,team,team_code,web_name
608,Jacob,Bruun Larsen,3,MID,6,Burnley,90,Bruun Larsen
622,Owen,Dodgson,2,DEF,6,Burnley,90,Dodgson
660,Wilson,Odobert,3,MID,6,Burnley,90,Odobert
674,Hannes,Delcroix,2,DEF,6,Burnley,90,Delcroix
675,Aaron,Ramsey,3,MID,6,Burnley,90,A.Ramsey
694,Han-Noah,Massengo,3,MID,6,Burnley,90,Massengo
706,Mike,Trésor,3,MID,6,Burnley,90,M.Trésor
805,Lorenz,Assignon,2,DEF,6,Burnley,90,Assignon
806,Maxime,Esteve,2,DEF,6,Burnley,90,Estève
126,Moisés,Caicedo Corozo,3,MID,7,Chelsea,8,Caicedo
145,Robert,Sánchez,1,GKP,7,Chelsea,8,Sanchez
185,Ethan,Ampadu,2,DEF,7,Chelsea,8,Ampadu
186,Andrey,Nascimento dos Santos,3,MID,7,Chelsea,8,Andrey
187,Kepa,Arrizabalaga,1,GKP,7,Chelsea,8,Arrizabalaga
188,Pierre-Emerick,Aubameyang,4,FWD,7,Chelsea,8,Aubameyang
189,César,Azpilicueta,2,DEF,7,Chelsea,8,Azpilicueta
190,Abdul Rahman,Baba,2,DEF,7,Chelsea,8,Baba
191,Benoît,Badiashile,2,DEF,7,Chelsea,8,B.Badiashile
192,Marcus,Bettinelli,1,GKP,7,Chelsea,8,Bettinelli
194,Trevoh,Chalobah,2,DEF,7,Chelsea,8,Chalobah
195,Ben,Chilwell,2,DEF,7,Chelsea,8,Chilwell
196,Carney,Chukwuemeka,3,MID,7,Chelsea,8,Chukwuemeka
197,Levi,Colwill,2,DEF,7,Chelsea,8,Colwill
198,Marc,Cucurella Saseta,2,DEF,7,Chelsea,8,Cucurella
199,Enzo,Fernández,3,MID,7,Chelsea,8,Enzo
201,Wesley,Fofana,2,DEF,7,Chelsea,8,W.Fofana
202,Conor,Gallagher,3,MID,7,Chelsea,8,Gallagher
203,Malo,Gusto,2,DEF,7,Chelsea,8,Gusto
206,Reece,James,2,DEF,7,Chelsea,8,James
207,Romelu,Lukaku Bolingoli,4,FWD,7,Chelsea,8,Lukaku
208,Noni,Madueke,3,MID,7,Chelsea,8,Madueke
210,Mykhailo,Mudryk,3,MID,7,Chelsea,8,Mudryk
211,Nicolas,Jackson,4,FWD,7,Chelsea,8,N.Jackson
212,Christopher,Nkunku,4,FWD,7,Chelsea,8,Nkunku
213,Christian,Pulisic,3,MID,7,Chelsea,8,Pulisic
214,Malang,Sarr,2,DEF,7,Chelsea,8,M.Sarr
215,Gabriel,Słonina,1,GKP,7,Chelsea,8,Slonina
216,Raheem,Sterling,3,MID,7,Chelsea,8,Sterling
217,Thiago,Emiliano da Silva,2,DEF,7,Chelsea,8,T.Silva
218,Hakim,Ziyech,3,MID,7,Chelsea,8,Ziyech
362,Cole,Palmer,3,MID,7,Chelsea,8,Palmer
589,Ângelo Gabriel,Borges Damaceno,3,MID,7,Chelsea,8,Ângelo
609,Ian,Maatsen,3,MID,7,Chelsea,8,Maatsen
611,Axel,Disasi,2,DEF,7,Chelsea,8,Disasi
613,Lesley,Ugochukwu,3,MID,7,Chelsea,8,Ugochukwu
623,Mason,Burstow,4,FWD,7,Chelsea,8,Burstow
659,Lucas,Bergström,1,GKP,7,Chelsea,8,Bergström
667,Roméo,Lavia,3,MID,7,Chelsea,8,Lavia
671,Bashir,Humphreys,2,DEF,7,Chelsea,8,Humphreys
677,Deivid Washington,de Souza Eugênio,4,FWD,7,Chelsea,8,Deivid
680,Eddie,Beach,1,GKP,7,Chelsea,8,Beach
681,Diego Manuel Jadon,da Silva Moreira,3,MID,7,Chelsea,8,Diego Moreira
687,Đorđe,Petrović,1,GKP,7,Chelsea,8,Petrović
716,Alfie,Gilchrist,2,DEF,7,Chelsea,8,Gilchrist
717,Ronnie,Stutter,4,FWD,7,Chelsea,8,Stutter
718,Alex,Matos,3,MID,7,Chelsea,8,Matos
723,Josh,Brooking,2,DEF,7,Chelsea,8,Brooking
758,Leo,Castledine,3,MID,7,Chelsea,8,Castledine
791,Cesare,Casadei,3,MID,7,Chelsea,8,Casadei
819,Ishé,Samuels-Smith,2,DEF,7,Chelsea,8,Samuels-Smith
820,Ollie,Harrison,3,MID,7,Chelsea,8,Harrison
830,Jimi,Tauriainen,3,MID,7,Chelsea,8,Tauriainen
838,Josh,Acheampong,2,DEF,7,Chelsea,8,Acheampong
847,Teddy,Sharman-Lowe,1,GKP,7,Chelsea,8,Sharman-Lowe
851,Tyrique,George,4,FWD,7,Chelsea,8,George
852,Kiano,Dyer,3,MID,7,Chelsea,8,Dyer
858,Ted,Curd,1,GKP,7,Chelsea,8,Curd
859,Zak,Sturge,2,DEF,7,Chelsea,8,Sturge
7,Rob,Holding,2,DEF,8,Crystal Palace,31,Holding
219,Naouirou,Ahamada,3,MID,8,Crystal Palace,31,Ahamada
220,Joachim,Andersen,2,DEF,8,Crystal Palace,31,Andersen
221,Jordan,Ayew,3,MID,8,Crystal Palace,31,J.Ayew
222,Nathaniel,Clyne,2,DEF,8,Crystal Palace,31,Clyne
223,Cheick,Doucouré,3,MID,8,Crystal Palace,31,C.Doucouré
224,Malcolm,Ebiowei,3,MID,8,Crystal Palace,31,Ebiowei
225,Odsonne,Edouard,4,FWD,8,Crystal Palace,31,Edouard
226,Eberechi,Eze,3,MID,8,Crystal Palace,31,Eze
227,Vicente,Guaita,1,GKP,8,Crystal Palace,31,Guaita
228,Marc,Guéhi,2,DEF,8,Crystal Palace,31,Guéhi
229,Will,Hughes,3,MID,8,Crystal Palace,31,Hughes
230,Sam,Johnstone,1,GKP,8,Crystal Palace,31,Johnstone
231,Jefferson,Lerma Solís,3,MID,8,Crystal Palace,31,Lerma
232,Jean-Philippe,Mateta,4,FWD,8,Crystal Palace,31,Mateta
233,Remi,Matthews,1,GKP,8,Crystal Palace,31,Matthews
234,Tyrick,Mitchell,2,DEF,8,Crystal Palace,31,Mitchell
235,Jake,O'Brien,2,DEF,8,Crystal Palace,31,O'Brien
236,Michael,Olise,3,MID,8,Crystal Palace,31,Olise
237,Luke,Plange,4,FWD,8,Crystal Palace,31,Plange
238,Chris,Richards,2,DEF,8,Crystal Palace,31,C.Richards
239,Jairo,Riedewald,3,MID,8,Crystal Palace,31,Riedewald
240,Jeffrey,Schlupp,3,MID,8,Crystal Palace,31,Schlupp
241,James,Tomkins,2,DEF,8,Crystal Palace,31,Tomkins
242,Joel,Ward,2,DEF,8,Crystal Palace,31,Ward
243,Joe,Whitworth,1,GKP,8,Crystal Palace,31,Whitworth
385,Dean,Henderson,1,GKP,8,Crystal Palace,31,Henderson
615,Matheus,França de Oliveira,3,MID,8,Crystal Palace,31,Matheus França
657,Jesurun,Rak-Sakyi,3,MID,8,Crystal Palace,31,Rak-Sakyi
658,John-Kymani,Gordon,4,FWD,8,Crystal Palace,31,Gordon
720,Ademola,Ola-Adebomi,4,FWD,8,Crystal Palace,31,Ola-Adebomi
721,David,Ozoh,3,MID,8,Crystal Palace,31,Ozoh
724,Jadan,Raymond,3,MID,8,Crystal Palace,31,Raymond
763,Tayo,Adaramola,2,DEF,8,Crystal Palace,31,Adaramola
