assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position,team,fpl_name
11,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,118,0,0,0.0,0.0,2023-11-11T15:00:00Z,0,14,0,0,0,0,12,0,2598,0,0,1,0.0,0,-97,0,97,44,False,0,334,,,Glen Rea
12,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,125,0,0,0.0,0.0,2023-11-25T15:00:00Z,0,8,0,0,0,0,13,0,2505,0,1,2,0.0,0,-96,0,96,44,True,0,334,,,Glen Rea
13,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,4,0,0,0,0,14,0,2462,0,1,3,0.0,0,-45,0,45,44,False,0,334,,,Glen Rea
14,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2023-12-05T20:15:00Z,0,1,0,0,0,0,15,0,2433,0,4,3,0.0,0,-32,0,32,44,True,0,334,,,Glen Rea
15,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,156,0,0,0.0,0.0,2023-12-10T14:00:00Z,0,13,0,0,0,0,16,0,2394,0,2,1,0.0,0,-38,0,38,44,True,0,334,,,Glen Rea
16,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,175,0,0,0.0,0.0,2023-12-23T15:00:00Z,0,15,0,0,0,0,18,0,2301,0,0,1,0.0,0,-35,0,35,44,True,0,334,,,Glen Rea
17,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,190,0,0,0.0,0.0,2023-12-26T15:00:00Z,0,17,0,0,0,0,19,0,2261,0,3,2,0.0,0,-44,0,44,44,False,0,334,,,Glen Rea
18,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,195,0,0,0.0,0.0,2023-12-30T12:30:00Z,0,7,0,0,0,0,20,0,2231,0,3,2,0.0,0,-31,0,31,44,True,0,334,,,Glen Rea
19,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2024-01-12T19:45:00Z,0,6,0,0,0,0,21,0,2157,0,1,1,0.0,0,-69,0,69,44,False,0,334,,,Glen Rea
20,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,214,0,0,0.0,0.0,2024-01-30T19:45:00Z,0,5,0,0,0,0,22,0,2123,0,0,4,0.0,0,-39,0,39,44,True,0,334,,,Glen Rea
21,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,229,0,0,0.0,0.0,2024-02-03T15:00:00Z,0,15,0,0,0,0,23,0,2113,0,4,4,0.0,0,-11,0,11,44,False,0,334,,,Glen Rea
22,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,235,0,0,0.0,0.0,2024-02-10T15:00:00Z,0,17,0,0,0,0,24,0,2087,0,3,1,0.0,0,-26,0,26,44,True,0,334,,,Glen Rea
23,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,245,0,0,0.0,0.0,2024-02-18T16:30:00Z,0,14,0,0,0,0,25,0,2074,0,2,1,0.0,0,-10,0,10,44,True,0,334,,,Glen Rea
25,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,265,0,0,0.0,0.0,2024-03-02T17:30:00Z,0,2,0,0,0,0,27,0,2044,0,3,2,0.0,0,-14,0,14,44,True,0,334,,,Glen Rea
26,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,276,0,0,0.0,0.0,2024-03-09T15:00:00Z,0,8,0,0,0,0,28,0,2032,0,1,1,0.0,0,-12,0,12,44,False,0,334,,,Glen Rea
28,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,287,0,0,0.0,0.0,2024-03-16T15:00:00Z,0,16,0,0,0,0,29,0,2018,0,1,1,0.0,0,-7,0,7,44,True,0,334,,,Glen Rea
29,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,300,0,0,0.0,0.0,2024-03-30T15:00:00Z,0,18,0,0,0,0,30,0,2017,0,1,2,0.0,0,-8,0,8,44,False,0,334,,,Glen Rea
30,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,301,0,0,0.0,0.0,2024-04-03T18:30:00Z,0,1,0,0,0,0,31,0,2017,0,0,2,0.0,0,-1,0,1,44,False,0,334,,,Glen Rea
31,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,316,0,0,0.0,0.0,2024-04-06T14:00:00Z,0,3,0,0,0,0,32,0,2006,0,1,2,0.0,0,-10,0,10,44,True,0,334,,,Glen Rea
32,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,327,0,0,0.0,0.0,2024-04-13T14:00:00Z,0,13,0,0,0,0,33,0,2002,0,1,5,0.0,0,-5,0,5,44,False,0,334,,,Glen Rea
33,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,336,0,0,0.0,0.0,2024-04-20T14:00:00Z,0,4,0,0,0,0,34,0,1993,0,5,1,0.0,0,-8,0,8,44,True,0,334,,,Glen Rea
34,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,350,0,0,0.0,0.0,2024-04-27T14:00:00Z,0,20,0,0,0,0,35,0,1983,0,1,2,0.0,0,-9,0,9,44,False,0,334,,,Glen Rea
35,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,358,0,0,0.0,0.0,2024-05-03T19:00:00Z,0,9,0,0,0,0,36,0,1979,0,1,1,0.0,0,-6,0,6,44,True,0,334,,,Glen Rea
36,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,369,0,0,0.0,0.0,2024-05-11T14:00:00Z,0,19,0,0,0,0,37,0,1966,0,1,3,0.0,0,-12,0,12,44,False,0,334,,,Glen Rea
37,0,0,0,0,0.0,334,0.0,0.0,0.0,0.0,378,0,0,0.0,0.0,2024-05-19T15:00:00Z,0,10,0,0,0,0,38,0,1954,0,4,2,0.0,0,-11,0,11,44,True,0,334,,,Glen Rea
