h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
28,a,0.540718,1.2821,0.540718,1.2821,"{'att': 346, 'def': 28}","{'att': 252, 'def': 22}",3,6,2,1,0.6667000000000001,w,2025-03-15 15:00:00,1,0,0,3,-0.741382
29,h,1.10359,1.73057,1.10359,1.73057,"{'att': 364, 'def': 26}","{'att': 226, 'def': 28}",6,5,1,0,0.8547,w,2025-04-01 19:45:00,1,0,0,3,-0.6269799999999999
30,a,2.8096,0.872356,2.8096,0.872356,"{'att': 174, 'def': 20}","{'att': 226, 'def': 18}",8,5,2,1,2.6502,w,2025-04-05 14:00:00,1,0,0,3,1.937244
31,h,2.22977,1.62887,2.22977,1.62887,"{'att': 320, 'def': 21}","{'att': 185, 'def': 23}",4,9,4,2,1.8095,w,2025-04-13 13:00:00,1,0,0,3,0.6008999999999998
32,a,0.187814,1.13966,0.187814,1.13966,"{'att': 290, 'def': 31}","{'att': 229, 'def': 29}",3,9,1,0,0.4431,w,2025-04-20 13:00:00,1,0,0,3,-0.951846
33,h,2.57666,1.04978,2.57666,0.288615,"{'att': 312, 'def': 16}","{'att': 399, 'def': 37}",11,4,3,0,2.4926,w,2025-04-26 14:00:00,1,0,0,3,2.288045
34,a,0.622455,0.859463,0.622455,0.859463,"{'att': 346, 'def': 22}","{'att': 251, 'def': 21}",2,11,0,1,1.0674,l,2025-05-02 19:00:00,0,0,1,0,-0.237008
35,h,0.73395,1.41254,0.73395,0.651374,"{'att': 264, 'def': 20}","{'att': 331, 'def': 30}",7,5,0,2,0.6833,l,2025-05-10 14:00:00,0,0,1,0,0.0825759999999999
36,a,1.42886,1.68451,1.42886,1.68451,"{'att': 152, 'def': 17}","{'att': 372, 'def': 21}",9,12,2,4,1.1765,l,2025-05-20 19:00:00,0,0,1,0,-0.2556499999999999
37,h,1.10889,1.97196,1.10889,1.97196,"{'att': 269, 'def': 20}","{'att': 186, 'def': 25}",7,7,1,1,0.7593,d,2025-05-25 15:00:00,0,1,0,1,-0.86307
