player names,one plus ,two plus,contest
Maxence Lacroix,8/1,,Crystal Palace v Nottingham Forest
Chris Richards,9/1,,Crystal Palace v Nottingham Forest
Morgan Gibbs-White,5/1,,Crystal Palace v Nottingham Forest
Elliot Anderson,11/2,,Crystal Palace v Nottingham Forest
Callum Hudson-Odoi,6/1,,Crystal Palace v Nottingham Forest
Neco Williams,6/1,,Crystal Palace v Nottingham Forest
Dan Ndoye,13/2,,Crystal Palace v Nottingham Forest
Chris Wood,17/2,,Crystal Palace v Nottingham Forest
Ola Aina,9/1,,Crystal Palace v Nottingham Forest
Ibrahim Sangare,10/1,,Crystal Palace v Nottingham Forest
Murillo,11/1,,Crystal Palace v Nottingham Forest
Nikola Milenkovic,11/1,,Crystal Palace v Nottingham Forest
Beto,6/1,,Everton v Brighton
Iliman Ndiaye,6/1,,Everton v Brighton
Kiernan Dewsbury-Hall,6/1,,Everton v Brighton
Carlos Alcaraz,13/2,,Everton v Brighton
James Garner,7/1,,Everton v Brighton
James Tarkowski,7/1,,Everton v Brighton
Idrissa Gueye,15/2,,Everton v Brighton
Michael Keane,15/2,,Everton v Brighton
Jake O'Brien,17/2,,Everton v Brighton
Kaoru Mitoma,9/2,,Everton v Brighton
Georginio Rutter,5/1,,Everton v Brighton
Yankuba Minteh,5/1,,Everton v Brighton
Matt O'Riley,6/1,,Everton v Brighton
Maxim De Cuyper,6/1,,Everton v Brighton
Mats Wieffer,13/2,,Everton v Brighton
Carlos Baleba,15/2,,Everton v Brighton
Jan Paul van Hecke,12/1,,Everton v Brighton
Joshua King,15/4,33/1,Fulham v Man Utd
Alex Iwobi,5/1,28/1,Fulham v Man Utd
Harry Wilson,11/2,,Fulham v Man Utd
Raul Jimenez,11/2,,Fulham v Man Utd
Sander Berge,7/1,,Fulham v Man Utd
Kenny Tete,8/1,,Fulham v Man Utd
Sasa Lukic,8/1,,Fulham v Man Utd
Jorge Cuenca,9/1,,Fulham v Man Utd
Calvin Bassey,12/1,,Fulham v Man Utd
Joachim Andersen,12/1,,Fulham v Man Utd
Bruno Fernandes,10/3,,Fulham v Man Utd
Matheus Cunha,17/4,,Fulham v Man Utd
Amad Diallo,9/2,,Fulham v Man Utd
Bryan Mbeumo,19/4,,Fulham v Man Utd
Luke Shaw,19/4,,Fulham v Man Utd
Manuel Ugarte,11/2,,Fulham v Man Utd
Patrick Dorgu,11/2,,Fulham v Man Utd
Benjamin Sesko,6/1,,Fulham v Man Utd
Matthijs de Ligt,7/1,,Fulham v Man Utd
Leny Yoro,10/1,,Fulham v Man Utd
Rayan Ait-Nouri,16/5,28/1,Man City v Tottenham
Jeremy Doku,7/2,33/1,Man City v Tottenham
Bernardo Silva,18/5,33/1,Man City v Tottenham
Oscar Bobb,4/1,40/1,Man City v Tottenham
Tijani Reijnders,4/1,50/1,Man City v Tottenham
Erling Haaland,9/2,,Man City v Tottenham
Rico Lewis,5/1,,Man City v Tottenham
Nico Gonzalez,11/2,,Man City v Tottenham
Mohammed Kudus,11/2,,Man City v Tottenham
Richarlison,6/1,,Man City v Tottenham
Pedro Porro,7/1,,Man City v Tottenham
Djed Spence,8/1,,Man City v Tottenham
Lucas Bergvall,17/2,,Man City v Tottenham
Pape Sarr,10/1,,Man City v Tottenham
Cristian Romero,12/1,,Man City v Tottenham
Joao Palhinha,14/1,,Man City v Tottenham
Kevin Danso,16/1,,Man City v Tottenham
Micky van de Ven,16/1,,Man City v Tottenham
David Brooks,18/5,33/1,Bournemouth v Wolves
Evanilson,18/5,33/1,Bournemouth v Wolves
Marcus Tavernier,18/5,33/1,Bournemouth v Wolves
Adrien Truffert,4/1,,Bournemouth v Wolves
Antoine Semenyo,4/1,,Bournemouth v Wolves
Alex Scott,19/4,,Bournemouth v Wolves
Marcos Senesi,5/1,,Bournemouth v Wolves
Adam Smith,6/1,,Bournemouth v Wolves
Tyler Adams,6/1,,Bournemouth v Wolves
Jorgen Strand Larsen,11/2,,Bournemouth v Wolves
Jean-Ricner Bellegarde,13/2,,Bournemouth v Wolves
Ki-Jana Hoever,7/1,,Bournemouth v Wolves
Joao Gomes,15/2,,Bournemouth v Wolves
Marshall Munetsi,8/1,,Bournemouth v Wolves
Matt Doherty,8/1,,Bournemouth v Wolves
David Moller Wolfe,10/1,,Bournemouth v Wolves
Toti Gomes,12/1,,Bournemouth v Wolves
Emmanuel Agbadou,14/1,,Bournemouth v Wolves
Mathias Jensen,5/1,40/1,Brentford v Aston Villa
Mikkel Damsgaard,5/1,,Brentford v Aston Villa
Kevin Schade,11/2,,Brentford v Aston Villa
Igor Thiago,8/1,,Brentford v Aston Villa
Sepp van den Berg,11/1,,Brentford v Aston Villa
Rico Henry,12/1,,Brentford v Aston Villa
Ollie Watkins,4/1,,Brentford v Aston Villa
John McGinn,9/2,,Brentford v Aston Villa
Youri Tielemans,19/4,,Brentford v Aston Villa
Morgan Rogers,19/4,,Brentford v Aston Villa
Lucas Digne,5/1,,Brentford v Aston Villa
Amadou Onana,6/1,,Brentford v Aston Villa
Boubacar Kamara,6/1,,Brentford v Aston Villa
Tyrone Mings,15/2,,Brentford v Aston Villa
Matty Cash,10/1,,Brentford v Aston Villa
Pau Torres,10/1,,Brentford v Aston Villa
Josh Cullen,19/4,,Burnley v Sunderland
Hannibal Mejbri,13/2,,Burnley v Sunderland
Jaidon Anthony,13/2,,Burnley v Sunderland
Lyle Foster,13/2,,Burnley v Sunderland
Marcus Edwards,13/2,,Burnley v Sunderland
Quilindschy Hartman,13/2,,Burnley v Sunderland
Lesley Ugochukwu,7/1,,Burnley v Sunderland
Hjalmar Ekdal,17/2,,Burnley v Sunderland
Kyle Walker,10/1,,Burnley v Sunderland
Maxime Esteve,14/1,,Burnley v Sunderland
Habib Diarra,6/1,,Burnley v Sunderland
Eliezer Mayenda,13/2,,Burnley v Sunderland
Simon Adingra,13/2,,Burnley v Sunderland
Chemsdine Talbi,13/2,,Burnley v Sunderland
Trai Hume,15/2,,Burnley v Sunderland
Granit Xhaka,15/2,,Burnley v Sunderland
Reinildo Mandava,10/1,,Burnley v Sunderland
Daniel Ballard,11/1,,Burnley v Sunderland
Noah Sadiki,16/1,,Burnley v Sunderland
