perfomance_names,perfomance_odds,contest
Virgil van Dijk Perf,17 - 19.5,Bournemouth v Liverpool
Ryan Gravenberch Perf,16 - 18.5,Bournemouth v Liverpool
Curtis Jones Perf,16.5 - 19,Bournemouth v Liverpool
Hugo Ekitike Perf,15 - 17.5,Bournemouth v Liverpool
Ibrahima Konate Perf,15 - 17.5,Bournemouth v Liverpool
Cody Gakpo Perf,14 - 16.5,Bournemouth v Liverpool
Milos Kerkez Perf,13.5 - 16,Bournemouth v Liverpool
Jeremie Frimpong Perf,10 - 12.5,Bournemouth v Liverpool
Adam Wharton Perf,15 - 17.5,Crystal Palace v Chelsea
Yeremi Pino Perf,14 - 16.5,Crystal Palace v Chelsea
Justin Devenny Perf,13 - 15.5,Crystal Palace v Chelsea
Jefferson Lerma Perf,12.5 - 15,Crystal Palace v Chelsea
Maxence Lacroix Perf,12.5 - 15,Crystal Palace v Chelsea
Will Hughes Perf,12 - 14.5,Crystal Palace v Chelsea
Tyrick Mitchell Perf,11.5 - 14,Crystal Palace v Chelsea
Chris Richards Perf,11.5 - 14,Crystal Palace v Chelsea
Jean-Philippe Mateta Perf,9.5 - 12,Crystal Palace v Chelsea
Brennan Johnson Perf,9.5 - 12,Crystal Palace v Chelsea
Enzo Fernandez Perf,24 - 27,Crystal Palace v Chelsea
Reece James Perf,22 - 25,Crystal Palace v Chelsea
Moises Caicedo Perf,22 - 25,Crystal Palace v Chelsea
Benoit Badiashile Perf,20 - 23,Crystal Palace v Chelsea
Cole Palmer Perf,19 - 22,Crystal Palace v Chelsea
Trevoh Chalobah Perf,19 - 22,Crystal Palace v Chelsea
Marc Cucurella Perf,18.5 - 21,Crystal Palace v Chelsea
Alejandro Garnacho Perf,17.5 - 20,Crystal Palace v Chelsea
Pedro Neto Perf,15 - 17.5,Crystal Palace v Chelsea
Joao Pedro Perf,15 - 17.5,Crystal Palace v Chelsea
Bruno Guimaraes Perf,18 - 20.5,Newcastle v Aston Villa
Kieran Trippier Perf,17.5 - 20,Newcastle v Aston Villa
Lewis Hall Perf,17 - 19.5,Newcastle v Aston Villa
Anthony Gordon Perf,16.5 - 19,Newcastle v Aston Villa
Sandro Tonali Perf,15.5 - 18,Newcastle v Aston Villa
Harvey Barnes Perf,15 - 17.5,Newcastle v Aston Villa
Lewis Miley Perf,15 - 17.5,Newcastle v Aston Villa
Joelinton Perf,14.5 - 17,Newcastle v Aston Villa
Nick Woltemade Perf,14.5 - 17,Newcastle v Aston Villa
Jacob Ramsey Perf,13.5 - 16,Newcastle v Aston Villa
Malick Thiaw Perf,13.5 - 16,Newcastle v Aston Villa
Sven Botman Perf,13 - 15.5,Newcastle v Aston Villa
Yoane Wissa Perf,12.5 - 15,Newcastle v Aston Villa
Anthony Elanga Perf,12.5 - 15,Newcastle v Aston Villa
Joe Willock Perf,10 - 12.5,Newcastle v Aston Villa
Youri Tielemans Perf,17.5 - 20,Newcastle v Aston Villa
Emiliano Buendia Perf,16.5 - 19,Newcastle v Aston Villa
Ian Maatsen Perf,13 - 15.5,Newcastle v Aston Villa
Morgan Rogers Perf,13 - 15.5,Newcastle v Aston Villa
Amadou Onana Perf,13 - 15.5,Newcastle v Aston Villa
Ezri Konsa Perf,12.5 - 15,Newcastle v Aston Villa
Lamare Bogarde Perf,12.5 - 15,Newcastle v Aston Villa
Lucas Digne Perf,11.5 - 14,Newcastle v Aston Villa
Pau Torres Perf,11 - 13.5,Newcastle v Aston Villa
Victor Lindelof Perf,11 - 13.5,Newcastle v Aston Villa
Matty Cash Perf,10.5 - 13,Newcastle v Aston Villa
Ollie Watkins Perf,10 - 12.5,Newcastle v Aston Villa
Jadon Sancho Perf,9.5 - 12,Newcastle v Aston Villa
James Garner Perf,22 - 25,Everton v Leeds
Idrissa Gueye Perf,19 - 22,Everton v Leeds
Iliman Ndiaye Perf,18 - 20.5,Everton v Leeds
Dwight McNeil Perf,16 - 18.5,Everton v Leeds
Carlos Alcaraz Perf,15.5 - 18,Everton v Leeds
James Tarkowski Perf,15 - 17.5,Everton v Leeds
Merlin Rohl Perf,14.5 - 17,Everton v Leeds
Harrison Armstrong Perf,14.5 - 17,Everton v Leeds
Nathan Patterson Perf,14 - 16.5,Everton v Leeds
Vitaliy Mykolenko Perf,13 - 15.5,Everton v Leeds
Beto Perf,12 - 14.5,Everton v Leeds
Tyler Dibling Perf,12 - 14.5,Everton v Leeds
Thierno Barry Perf,11 - 13.5,Everton v Leeds
Jake O'Brien Perf,10.5 - 13,Everton v Leeds
Anton Stach Perf,23 - 26,Everton v Leeds
Dominic Calvert-Lewin Perf,18.5 - 21,Everton v Leeds
Pascal Struijk Perf,18.5 - 21,Everton v Leeds
Ethan Ampadu Perf,18.5 - 21,Everton v Leeds
Brenden Aaronson Perf,17.5 - 20,Everton v Leeds
Ilia Gruev Perf,16 - 18.5,Everton v Leeds
James Justin Perf,16 - 18.5,Everton v Leeds
Joe Rodon Perf,15.5 - 18,Everton v Leeds
Lukas Nmecha Perf,14 - 16.5,Everton v Leeds
Gabriel Gudmondsson Perf,14 - 16.5,Everton v Leeds
Jayden Bogle Perf,13.5 - 16,Everton v Leeds
Wilfried Gnonto Perf,13.5 - 16,Everton v Leeds
Sebastiaan Bornauw Perf,13 - 15.5,Everton v Leeds
Noah Okafor Perf,12.5 - 15,Everton v Leeds
