perfomance_names,perfomance_odds,contest
Kyle Walker Perf,9 - 11,Burnley v Chelsea
Axel Tuanzebe Perf,8.5 - 10.5,Burnley v Chelsea
Zian Flemming Perf,8.5 - 10.5,Burnley v Chelsea
Loum Tchaouna Perf,7 - 9,Burnley v Chelsea
Jacob Bruun Larsen Perf,5.5 - 7.5,Burnley v Chelsea
Andrey Santos Perf,25 - 28,Burnley v Chelsea
Enzo Fernandez Perf,23 - 26,Burnley v Chelsea
Moises Caicedo Perf,23 - 26,Burnley v Chelsea
Joao Pedro Perf,19 - 22,Burnley v Chelsea
Marc Cucurella Perf,20 - 23,Burnley v Chelsea
Malo Gusto Perf,19 - 22,Burnley v Chelsea
Tosin Adarabioyo Perf,19 - 22,Burnley v Chelsea
Reece James Perf,19 - 22,Burnley v Chelsea
Alejandro Garnacho Perf,19 - 22,Burnley v Chelsea
Trevoh Chalobah Perf,19 - 22,Burnley v Chelsea
Estevao Perf,17 - 19.5,Burnley v Chelsea
Wesley Fofana Perf,16.5 - 19,Burnley v Chelsea
Pedro Neto Perf,16 - 18.5,Burnley v Chelsea
Jamie Gittens Perf,14 - 16.5,Burnley v Chelsea
Liam Delap Perf,13 - 15.5,Burnley v Chelsea
Mohamed Salah Perf,22 - 25,Liverpool v Nottingham Forest
Virgil van Dijk Perf,21 - 24,Liverpool v Nottingham Forest
Dominik Szoboszlai Perf,20 - 23,Liverpool v Nottingham Forest
Cody Gakpo Perf,19 - 22,Liverpool v Nottingham Forest
Florian Wirtz Perf,19 - 22,Liverpool v Nottingham Forest
Conor Bradley Perf,19 - 22,Liverpool v Nottingham Forest
Alexis MacAllister Perf,19 - 22,Liverpool v Nottingham Forest
Ibrahima Konate Perf,19 - 22,Liverpool v Nottingham Forest
Andrew Robertson Perf,18.5 - 21,Liverpool v Nottingham Forest
Hugo Ekitike Perf,16.5 - 19,Liverpool v Nottingham Forest
Ryan Gravenberch Perf,16.5 - 19,Liverpool v Nottingham Forest
Alexander Isak Perf,14.5 - 17,Liverpool v Nottingham Forest
Elliot Anderson Perf,15.5 - 18,Liverpool v Nottingham Forest
Nicolas Dominguez Perf,15.5 - 18,Liverpool v Nottingham Forest
Ibrahim Sangare Perf,15 - 17.5,Liverpool v Nottingham Forest
Ryan Yates Perf,14 - 16.5,Liverpool v Nottingham Forest
Neco Williams Perf,13 - 15.5,Liverpool v Nottingham Forest
Morgan Gibbs-White Perf,13 - 15.5,Liverpool v Nottingham Forest
Igor Jesus Perf,10.5 - 13,Liverpool v Nottingham Forest
Dan Ndoye Perf,11 - 13.5,Liverpool v Nottingham Forest
Murillo Perf,11 - 13.5,Liverpool v Nottingham Forest
Omari Hutchinson Perf,10.5 - 13,Liverpool v Nottingham Forest
Callum Hudson-Odoi Perf,9 - 11.5,Liverpool v Nottingham Forest
Chris Wood Perf,8 - 10,Liverpool v Nottingham Forest
Nikola Milenkovic Perf,8 - 10,Liverpool v Nottingham Forest
Nicolo Savona Perf,7.5 - 9.5,Liverpool v Nottingham Forest
Bruno Guimaraes Perf,18.5 - 21,Newcastle v Man City
Sandro Tonali Perf,16 - 18.5,Newcastle v Man City
Anthony Gordon Perf,16 - 18.5,Newcastle v Man City
Lewis Hall Perf,15.5 - 18,Newcastle v Man City
Kieran Trippier Perf,15.5 - 18,Newcastle v Man City
Joelinton Perf,14 - 16.5,Newcastle v Man City
Jacob Ramsey Perf,14 - 16.5,Newcastle v Man City
Fabian Schar Perf,14 - 16.5,Newcastle v Man City
Sven Botman Perf,13 - 15.5,Newcastle v Man City
Harvey Barnes Perf,12.5 - 15,Newcastle v Man City
Nick Woltemade Perf,12 - 14.5,Newcastle v Man City
Malick Thiaw Perf,12 - 14.5,Newcastle v Man City
Lewis Miley Perf,12 - 14.5,Newcastle v Man City
Anthony Elanga Perf,11.5 - 14,Newcastle v Man City
Jacob Murphy Perf,11 - 13.5,Newcastle v Man City
Emil Krafth Perf,10 - 12.5,Newcastle v Man City
Jamaal Lascelles Perf,10 - 12.5,Newcastle v Man City
Joe Willock Perf,10 - 12.5,Newcastle v Man City
Nico Gonzalez Perf,19 - 22,Newcastle v Man City
Erling Haaland Perf,19 - 22,Newcastle v Man City
Rayan Ait-Nouri Perf,19 - 22,Newcastle v Man City
Rayan Cherki Perf,18 - 20.5,Newcastle v Man City
Josko Gvardiol Perf,18 - 20.5,Newcastle v Man City
Ruben Dias Perf,18 - 20.5,Newcastle v Man City
Phil Foden Perf,17 - 19.5,Newcastle v Man City
Oscar Bobb Perf,17 - 19.5,Newcastle v Man City
Jeremy Doku Perf,16.5 - 19,Newcastle v Man City
Bernardo Silva Perf,16 - 18.5,Newcastle v Man City
Tijjani Reijnders Perf,15.5 - 18,Newcastle v Man City
Matheus Nunes Perf,15.5 - 18,Newcastle v Man City
Omar Marmoush Perf,15.5 - 18,Newcastle v Man City
Nico O'Reilly Perf,14.5 - 17,Newcastle v Man City
Savinho Perf,15 - 17.5,Newcastle v Man City
Nathan Ake Perf,15 - 17.5,Newcastle v Man City
Rico Lewis Perf,14 - 16.5,Newcastle v Man City
John Stones Perf,13 - 15.5,Newcastle v Man City
Anton Stach Perf,17 - 19.5,Leeds v Aston Villa
Jaka Bijol Perf,17 - 19.5,Leeds v Aston Villa
Ethan Ampadu Perf,16 - 18.5,Leeds v Aston Villa
Joe Rodon Perf,14 - 16.5,Leeds v Aston Villa
Jack Harrison Perf,14 - 16.5,Leeds v Aston Villa
Sean Longstaff Perf,13 - 15.5,Leeds v Aston Villa
Daniel James Perf,13 - 15.5,Leeds v Aston Villa
Jayden Bogle Perf,12.5 - 15,Leeds v Aston Villa
Brenden Aaronson Perf,12 - 14.5,Leeds v Aston Villa
Gabriel Gudmondsson Perf,11.5 - 14,Leeds v Aston Villa
Dominic Calvert-Lewin Perf,11 - 13.5,Leeds v Aston Villa
Noah Okafor Perf,10 - 12.5,Leeds v Aston Villa
Lukas Nmecha Perf,10 - 12.5,Leeds v Aston Villa
Youri Tielemans Perf,19 - 22,Leeds v Aston Villa
Emiliano Buendia Perf,16.5 - 19,Leeds v Aston Villa
Boubacar Kamara Perf,15.5 - 18,Leeds v Aston Villa
John McGinn Perf,13 - 15.5,Leeds v Aston Villa
Pau Torres Perf,13 - 15.5,Leeds v Aston Villa
Amadou Onana Perf,12.5 - 15,Leeds v Aston Villa
Lucas Digne Perf,12.5 - 15,Leeds v Aston Villa
Morgan Rogers Perf,12 - 14.5,Leeds v Aston Villa
Ezri Konsa Perf,12 - 14.5,Leeds v Aston Villa
Matty Cash Perf,11.5 - 14,Leeds v Aston Villa
Ollie Watkins Perf,10 - 12.5,Leeds v Aston Villa
Donyell Malen Perf,9 - 11,Leeds v Aston Villa
Mikel Merino Perf,23 - 26,Arsenal v Tottenham
Bukayo Saka Perf,23 - 26,Arsenal v Tottenham
Eberechi Eze Perf,19 - 22,Arsenal v Tottenham
Declan Rice Perf,19 - 22,Arsenal v Tottenham
Martin Zubimendi Perf,18 - 20.5,Arsenal v Tottenham
Cristhian Mosquera Perf,18 - 20.5,Arsenal v Tottenham
William Saliba Perf,17 - 19.5,Arsenal v Tottenham
Jurrien Timber Perf,16.5 - 19,Arsenal v Tottenham
Riccardo Calafiori Perf,16.5 - 19,Arsenal v Tottenham
Piero Hincapie Perf,16 - 18.5,Arsenal v Tottenham
Leandro Trossard Perf,14.5 - 17,Arsenal v Tottenham
Viktor Gyokeres Perf,13.5 - 16,Arsenal v Tottenham
Joao Palhinha Perf,15.5 - 18,Arsenal v Tottenham
Pedro Porro Perf,14 - 16.5,Arsenal v Tottenham
Cristian Romero Perf,13.5 - 16,Arsenal v Tottenham
Destiny Udogie Perf,12.5 - 15,Arsenal v Tottenham
Rodrigo Bentancur Perf,11 - 13.5,Arsenal v Tottenham
Xavi Simons Perf,10.5 - 13,Arsenal v Tottenham
Micky van de Ven Perf,10.5 - 13,Arsenal v Tottenham
Pape Sarr Perf,10 - 12.5,Arsenal v Tottenham
Mohammed Kudus Perf,10 - 12.5,Arsenal v Tottenham
Richarlison Perf,8.5 - 10.5,Arsenal v Tottenham
Mathys Tel Perf,9 - 11,Arsenal v Tottenham
Wilson Odobert Perf,6.5 - 8.5,Arsenal v Tottenham
Brennan Johnson Perf,6 - 8,Arsenal v Tottenham
Bruno Fernandes Perf,29 - 32,Man Utd v Everton
Casemiro Perf,24 - 27,Man Utd v Everton
Matheus Cunha Perf,23 - 26,Man Utd v Everton
Bryan Mbeumo Perf,20 - 23,Man Utd v Everton
Manuel Ugarte Perf,20 - 23,Man Utd v Everton
Amad Diallo Perf,19 - 22,Man Utd v Everton
Mason Mount Perf,19 - 22,Man Utd v Everton
Noussair Mazraoui Perf,19 - 22,Man Utd v Everton
Patrick Dorgu Perf,18.5 - 21,Man Utd v Everton
Leny Yoro Perf,18 - 20.5,Man Utd v Everton
Ayden Heaven Perf,18 - 20.5,Man Utd v Everton
Kobbie Mainoo Perf,18 - 20.5,Man Utd v Everton
Diogo Dalot Perf,17 - 19.5,Man Utd v Everton
Matthijs de Ligt Perf,16.5 - 19,Man Utd v Everton
Joshua Zirkzee Perf,16 - 18.5,Man Utd v Everton
Luke Shaw Perf,15 - 17.5,Man Utd v Everton
Idrissa Gueye Perf,16.5 - 19,Man Utd v Everton
James Garner Perf,14.5 - 17,Man Utd v Everton
James Tarkowski Perf,13.5 - 16,Man Utd v Everton
Jack Grealish Perf,13.5 - 16,Man Utd v Everton
Iliman Ndiaye Perf,13.5 - 16,Man Utd v Everton
Carlos Alcaraz Perf,13.5 - 16,Man Utd v Everton
Dwight McNeil Perf,13.5 - 16,Man Utd v Everton
Tyler Dibling Perf,13.5 - 16,Man Utd v Everton
Kiernan Dewsbury-Hall Perf,13 - 15.5,Man Utd v Everton
Tim Iroegbunam Perf,13 - 15.5,Man Utd v Everton
Vitaliy Mykolenko Perf,11.5 - 14,Man Utd v Everton
Beto Perf,11 - 13.5,Man Utd v Everton
Michael Keane Perf,10.5 - 13,Man Utd v Everton
Thierno Barry Perf,10 - 12.5,Man Utd v Everton
Seamus Coleman Perf,9.5 - 12,Man Utd v Everton
Jake O'Brien Perf,8.5 - 10.5,Man Utd v Everton
