perfomance_names,perfomance_odds,contest
Noni Madueke Perf,16 - 18.5,Arsenal v Leeds
Gabriel Martinelli Perf,15.5 - 18,Arsenal v Leeds
Ben White Perf,14 - 16.5,Arsenal v Leeds
Jurrien Timber Perf,14 - 16.5,Arsenal v Leeds
Myles Lewis-Skelly Perf,12.5 - 15,Arsenal v Leeds
Anton Stach Perf,20 - 23,Arsenal v Leeds
Ao Tanaka Perf,15.5 - 18,Arsenal v Leeds
Pascal Struijk Perf,13.5 - 16,Arsenal v Leeds
Gabriel Gudmondsson Perf,13 - 15.5,Arsenal v Leeds
Ethan Ampadu Perf,13 - 15.5,Arsenal v Leeds
Joe Rodon Perf,11 - 13.5,Arsenal v Leeds
Jayden Bogle Perf,10.5 - 13,Arsenal v Leeds
Sean Longstaff Perf,9.5 - 12,Arsenal v Leeds
Wilfried Gnonto Perf,8 - 10,Arsenal v Leeds
Daniel James Perf,8.5 - 10.5,Arsenal v Leeds
Brenden Aaronson Perf,8 - 10,Arsenal v Leeds
Lukas Nmecha Perf,7.5 - 9.5,Arsenal v Leeds
Dominic Calvert-Lewin Perf,7.5 - 9.5,Arsenal v Leeds
Joel Piroe Perf,6 - 8,Arsenal v Leeds
Daniel Munoz Perf,18.5 - 21,Crystal Palace v Nottingham Forest
Adam Wharton Perf,18 - 20.5,Crystal Palace v Nottingham Forest
Maxence Lacroix Perf,16 - 18.5,Crystal Palace v Nottingham Forest
Ismaila Sarr Perf,16 - 18.5,Crystal Palace v Nottingham Forest
Justin Devenny Perf,16 - 18.5,Crystal Palace v Nottingham Forest
Marc Guehi Perf,15.5 - 18,Crystal Palace v Nottingham Forest
Will Hughes Perf,14 - 16.5,Crystal Palace v Nottingham Forest
Chris Richards Perf,13 - 15.5,Crystal Palace v Nottingham Forest
Tyrick Mitchell Perf,12.5 - 15,Crystal Palace v Nottingham Forest
Jean-Philippe Mateta Perf,12 - 14.5,Crystal Palace v Nottingham Forest
Elliot Anderson Perf,18.5 - 21,Crystal Palace v Nottingham Forest
Morgan Gibbs-White Perf,16 - 18.5,Crystal Palace v Nottingham Forest
Ibrahim Sangare Perf,15.5 - 18,Crystal Palace v Nottingham Forest
Neco Williams Perf,15 - 17.5,Crystal Palace v Nottingham Forest
Murillo Perf,13.5 - 16,Crystal Palace v Nottingham Forest
Callum Hudson-Odoi Perf,13 - 15.5,Crystal Palace v Nottingham Forest
Ola Aina Perf,12 - 14.5,Crystal Palace v Nottingham Forest
Dan Ndoye Perf,11.5 - 14,Crystal Palace v Nottingham Forest
Nikola Milenkovic Perf,10.5 - 13,Crystal Palace v Nottingham Forest
Chris Wood Perf,9.5 - 12,Crystal Palace v Nottingham Forest
Tom Cairney Perf,16 - 18.5,Fulham v Man Utd
Joachim Andersen Perf,15 - 17.5,Fulham v Man Utd
Kenny Tete Perf,15 - 17.5,Fulham v Man Utd
Joshua King Perf,14.5 - 17,Fulham v Man Utd
Emile Smith Rowe Perf,14.5 - 17,Fulham v Man Utd
Harry Wilson Perf,14 - 16.5,Fulham v Man Utd
Alex Iwobi Perf,14 - 16.5,Fulham v Man Utd
Calvin Bassey Perf,14 - 16.5,Fulham v Man Utd
Raul Jimenez Perf,13.5 - 16,Fulham v Man Utd
Sasa Lukic Perf,13.5 - 16,Fulham v Man Utd
Sander Berge Perf,13 - 15.5,Fulham v Man Utd
Jorge Cuenca Perf,12.5 - 15,Fulham v Man Utd
Rodrigo Muniz Perf,12 - 14.5,Fulham v Man Utd
Adama Traore Perf,10.5 - 13,Fulham v Man Utd
Andreas Pereira Perf,10 - 12.5,Fulham v Man Utd
Bruno Fernandes Perf,23 - 26,Fulham v Man Utd
Casemiro Perf,20 - 23,Fulham v Man Utd
Matheus Cunha Perf,19 - 21.5,Fulham v Man Utd
Patrick Dorgu Perf,17.5 - 20,Fulham v Man Utd
Manuel Ugarte Perf,17.5 - 20,Fulham v Man Utd
Harry Maguire Perf,17 - 19.5,Fulham v Man Utd
Bryan Mbeumo Perf,16 - 18.5,Fulham v Man Utd
Leny Yoro Perf,16 - 18.5,Fulham v Man Utd
Matthijs de Ligt Perf,15.5 - 18,Fulham v Man Utd
Mason Mount Perf,15.5 - 18,Fulham v Man Utd
Kobbie Mainoo Perf,15.5 - 18,Fulham v Man Utd
Amad Diallo Perf,13.5 - 16,Fulham v Man Utd
Joshua Zirkzee Perf,12.5 - 15,Fulham v Man Utd
Diogo Dalot Perf,12 - 14.5,Fulham v Man Utd
Luke Shaw Perf,12 - 14.5,Fulham v Man Utd
Benjamin Sesko Perf,9.5 - 11.5,Fulham v Man Utd
