perfomance_names,perfomance_odds,contest
Lamare Bogarde Perf,8.5 - 10.5,Arsenal v Aston Villa
Andres Garcia Perf,8.5 - 10.5,Arsenal v Aston Villa
Lucas Digne Perf,8.5 - 10.5,Arsenal v Aston Villa
Ollie Watkins Perf,8 - 10,Arsenal v Aston Villa
Jadon Sancho Perf,5.5 - 7.5,Arsenal v Aston Villa
Donyell Malen Perf,5.5 - 7.5,Arsenal v Aston Villa
Matheus Cunha Perf,26 - 29,Man Utd v Wolves
Casemiro Perf,22 - 25,Man Utd v Wolves
Patrick Dorgu Perf,24 - 27,Man Utd v Wolves
Mason Mount Perf,21 - 24,Man Utd v Wolves
Manuel Ugarte Perf,19 - 22,Man Utd v Wolves
Diogo Dalot Perf,17 - 19.5,Man Utd v Wolves
Lisandro Martinez Perf,17 - 19.5,Man Utd v Wolves
Ayden Heaven Perf,16 - 18.5,Man Utd v Wolves
Joshua Zirkzee Perf,15.5 - 18,Man Utd v Wolves
Luke Shaw Perf,15.5 - 18,Man Utd v Wolves
Tyrell Malacia Perf,15.5 - 18,Man Utd v Wolves
Benjamin Sesko Perf,14.5 - 17,Man Utd v Wolves
Leny Yoro Perf,15 - 17.5,Man Utd v Wolves
Joao Gomes Perf,15.5 - 18,Man Utd v Wolves
Andre Perf,13 - 15.5,Man Utd v Wolves
Yerson Mosquera Perf,13 - 15.5,Man Utd v Wolves
Ladislav Krejci Perf,12 - 14.5,Man Utd v Wolves
Jhon Arias Perf,10.5 - 13,Man Utd v Wolves
Ki-Jana Hoever Perf,10.5 - 13,Man Utd v Wolves
Fer Lopez Perf,10 - 12.5,Man Utd v Wolves
Hugo Bueno  Perf,9.5 - 12,Man Utd v Wolves
Matt Doherty Perf,9 - 11.5,Man Utd v Wolves
David Moller Wolfe Perf,9 - 11.5,Man Utd v Wolves
Mateus Mane Perf,9 - 11.5,Man Utd v Wolves
Jorgen Strand Larsen Perf,7.5 - 9.5,Man Utd v Wolves
Hwang Hee-chan Perf,7.5 - 9.5,Man Utd v Wolves
Tolu Arokodare Perf,7 - 9,Man Utd v Wolves
Jackson Tchatchoua Perf,7 - 9,Man Utd v Wolves
Igor Thiago Perf,16.5 - 19,Brentford v Tottenham
Mikkel Damsgaard Perf,16.5 - 19,Brentford v Tottenham
Jordan Henderson Perf,15.5 - 18,Brentford v Tottenham
Nathan Collins Perf,14.5 - 17,Brentford v Tottenham
Sepp van den Berg Perf,14.5 - 17,Brentford v Tottenham
Keane Lewis-Potter Perf,14 - 16.5,Brentford v Tottenham
Mathias Jensen Perf,14 - 16.5,Brentford v Tottenham
Yehor Yarmolyuk Perf,13 - 15.5,Brentford v Tottenham
Michael Kayode Perf,13 - 15.5,Brentford v Tottenham
Rico Henry Perf,12 - 14.5,Brentford v Tottenham
Kevin Schade Perf,11.5 - 14,Brentford v Tottenham
Vitaly Janelt Perf,11.5 - 14,Brentford v Tottenham
Kristoffer Ajer Perf,10 - 12.5,Brentford v Tottenham
Aaron Hickey Perf,9.5 - 12,Brentford v Tottenham
Joao Palhinha Perf,20 - 23,Brentford v Tottenham
Cristian Romero Perf,18 - 20.5,Brentford v Tottenham
Pedro Porro Perf,16.5 - 19,Brentford v Tottenham
Mohammed Kudus Perf,16 - 18.5,Brentford v Tottenham
Micky van de Ven Perf,15.5 - 18,Brentford v Tottenham
Rodrigo Bentancur Perf,15 - 17.5,Brentford v Tottenham
Lucas Bergvall Perf,14 - 16.5,Brentford v Tottenham
Kevin Danso Perf,14 - 16.5,Brentford v Tottenham
Djed Spence Perf,13.5 - 16,Brentford v Tottenham
Archie Gray Perf,12.5 - 15,Brentford v Tottenham
Richarlison Perf,10.5 - 13,Brentford v Tottenham
Wilson Odobert Perf,10.5 - 13,Brentford v Tottenham
Randal Kolo Muani Perf,10 - 12.5,Brentford v Tottenham
Brennan Johnson Perf,9.5 - 12,Brentford v Tottenham
