assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
23,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,233,0,0,0.0,0.0,2025-02-02T14:00:00Z,0,0,0,0,0,0,0,0,False,18,0,0,0,0,24,0,1479,0,2,0,0.0,0,-6,0,6,49,True,0
24,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,250,0,0,0.0,0.0,2025-02-15T15:00:00Z,0,0,0,0,0,0,0,0,False,19,0,0,0,0,25,0,1472,0,1,0,0.0,0,-8,0,8,49,False,0
25,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,257,0,0,0.0,0.0,2025-02-21T20:00:00Z,0,0,0,0,0,0,0,0,False,11,0,0,0,0,26,0,1470,0,4,0,0.0,0,-2,0,2,49,False,0
26,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,261,0,0,0.0,0.0,2025-02-26T19:30:00Z,0,0,0,0,0,0,0,0,False,8,0,0,0,0,27,0,1467,0,1,1,0.0,0,-3,0,3,49,True,0
27,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,271,0,0,0.0,0.0,2025-03-08T17:30:00Z,0,0,0,0,0,0,0,0,False,2,0,0,0,0,28,0,1462,0,1,0,0.0,0,-5,0,5,49,True,0
28,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2025-03-15T17:30:00Z,0,0,0,0,0,0,0,0,False,3,0,0,0,0,29,0,1459,0,2,1,0.0,0,-2,0,2,49,False,0
29,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,299,0,0,0.0,0.0,2025-04-02T18:45:00Z,0,0,0,0,0,0,0,0,False,15,0,0,0,0,30,0,1457,0,1,2,0.0,0,-2,0,2,49,False,0
30,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,302,0,0,0.0,0.0,2025-04-06T13:00:00Z,0,0,0,0,0,0,0,0,False,6,0,0,0,0,31,0,1455,0,0,0,0.0,0,-3,0,3,49,True,0
31,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,311,0,0,0.0,0.0,2025-04-12T16:30:00Z,0,0,0,0,0,0,0,0,False,1,0,0,0,0,32,0,1453,0,1,1,0.0,0,-2,0,2,49,False,0
32,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,322,0,0,0.0,0.0,2025-04-19T14:00:00Z,0,0,0,0,0,0,0,0,False,5,0,0,0,0,33,0,1452,0,2,4,0.0,0,-1,0,1,49,True,0
33,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,338,0,0,0.0,0.0,2025-05-01T18:30:00Z,0,0,0,0,0,0,0,0,False,16,0,0,0,0,34,0,1448,0,2,0,0.0,0,-4,0,4,49,False,0
34,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,343,0,0,0.0,0.0,2025-05-04T13:00:00Z,0,0,0,0,0,0,0,0,False,14,0,0,0,0,35,0,1447,0,3,4,0.0,0,-1,0,1,49,True,0
35,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2025-05-10T14:00:00Z,0,0,0,0,0,0,0,0,False,10,0,0,0,0,36,0,1446,0,1,0,0.0,0,-1,0,1,49,False,0
36,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,363,0,0,0.0,0.0,2025-05-18T14:00:00Z,0,0,0,0,0,0,0,0,False,9,0,0,0,0,37,0,1444,0,3,2,0.0,0,-2,0,2,49,True,0
37,0,0,0,0,0.0,102,0.0,0.0,0.0,0.0,380,0,0,0.0,0.0,2025-05-25T15:00:00Z,0,0,0,0,0,0,0,0,False,20,0,0,0,0,38,0,1443,0,1,1,0.0,0,-1,0,1,49,False,0
