FPL_ID,FPL_Name,Understat_ID,Understat_Name
764,94,Vitaly Janelt,9680,Vitaly Janelt
767,660,Vítezslav Jaros,13103,Vítezslav Jaros
772,189,Wesley Fofana,7589,Wesley Fofana
773,264,Wes Burns,12749,Wes Burns
774,522,Wes Foderingham,8776,Wes Foderingham
776,300,Wilfred Ndidi,5545,Wilfred Ndidi
777,590,William Osula,9556,William Osula
778,18,William Saliba,6888,William Saliba
780,425,Willy Boly,6850,Willy Boly
781,606,Will Alves,13302,Will Alves
783,203,Will Hughes,6104,Will Hughes
784,609,Will Lankshear,13127,Will Lankshear
786,612,Wilson Odobert,10822,Wilson Odobert
787,291,Wout Faes,8646,Wout Faes
788,726,Woyo Coulibaly,12782,Woyo Coulibaly
789,135,Yankuba Minteh,12759,Yankuba Minteh
790,600,Yasin Ayari,11385,Yasin Ayari
792,558,Yerson Mosquera,9958,Yerson Mosquera
793,110,Yoane Wissa,5786,Yoane Wissa
794,57,Youri Tielemans,5956,Youri Tielemans
797,482,Yves Bissouma,5609,Yves Bissouma
800,728,Zain Silcott-Duberry,13351,Zain Silcott-Duberry
