fpl_id,fpl_position,team,full_team_name,fpl_name,understat_id,understat_name
713,2,Bournemouth,Bournemouth,Álex Jiménez Sánchez,12168.0,Alejandro Jiménez
721,2,Bournemouth,Bournemouth,Veljko Milosavljevic,14027.0,Veljko Milosavljevic
83,3,Brentford,Brentford,Dango Ouattara,9662.0,Dango Ouattara
101,1,Brentford,Brentford,Caoimhín Kelleher,7904.0,Caoimhin Kelleher
106,2,Brentford,Brentford,Nathan Collins,9733.0,Nathan Collins
107,2,Brentford,Brentford,Keane Lewis-Potter,10809.0,Keane Lewis-Potter
108,2,Brentford,Brentford,Kristoffer Ajer,9677.0,Kristoffer Ajer
109,2,Brentford,Brentford,Rico Henry,9679.0,Rico Henry
110,2,Brentford,Brentford,Michael Kayode,11281.0,Michael Kayode
111,2,Brentford,Brentford,Ethan Pinnock,9678.0,Ethan Pinnock
113,2,Brentford,Brentford,Sepp van den Berg,10721.0,Sepp van den Berg
116,2,Brentford,Brentford,Aaron Hickey,8942.0,Aaron Hickey
120,3,Brentford,Brentford,Kevin Schade,9156.0,Kevin Schade
121,3,Brentford,Brentford,Mikkel Damsgaard,8859.0,Mikkel Damsgaard
122,3,Brentford,Brentford,Antoni Milambo,13780.0,Antoni Milambo
123,3,Brentford,Brentford,Fábio Freitas Gouveia Carvalho,9501.0,Fabio Carvalho
124,3,Brentford,Brentford,Jordan Henderson,605.0,Jordan Henderson
126,3,Brentford,Brentford,Mathias Jensen,7166.0,Mathias Jensen
128,3,Brentford,Brentford,Frank Onyeka,9681.0,Frank Onyeka
129,3,Brentford,Brentford,Yehor Yarmoliuk,11772.0,Yehor Yarmolyuk
139,1,Brighton,Brighton and Hove Albion,Bart Verbruggen,11711.0,Bart Verbruggen
144,2,Brighton,Brighton and Hove Albion,Diego Coppola,10169.0,Diego Coppola
145,2,Brighton,Brighton and Hove Albion,Maxim De Cuyper,13711.0,Maxim De Cuyper
146,2,Brighton,Brighton and Hove Albion,Lewis Dunk,6048.0,Lewis Dunk
148,2,Brighton,Brighton and Hove Albion,Ferdi Kadıoğlu,13066.0,Ferdi Kadioglu
151,2,Brighton,Brighton and Hove Albion,Jan Paul van Hecke,10807.0,Jan Paul van Hecke
152,2,Brighton,Brighton and Hove Albion,Joël Veltman,8780.0,Joël Veltman
157,3,Brighton,Brighton and Hove Albion,Mitoma Kaoru,10806.0,Kaoru Mitoma
158,3,Brighton,Brighton and Hove Albion,Georginio Rutter,6937.0,Georginio Rutter
160,3,Brighton,Brighton and Hove Albion,Yankuba Minteh,12759.0,Yankuba Minteh
162,3,Brighton,Brighton and Hove Albion,Brajan Gruda,11310.0,Brajan Gruda
163,3,Brighton,Brighton and Hove Albion,Jack Hinshelwood,11269.0,Jack Hinshelwood
166,3,Brighton,Brighton and Hove Albion,Yasin Ayari,11385.0,Yasin Ayari
167,3,Brighton,Brighton and Hove Albion,Carlos Baleba,10527.0,Carlos Baleba
169,3,Brighton,Brighton and Hove Albion,Diego Gómez Amarilla,13364.0,Diego Gómez
170,3,Brighton,Brighton and Hove Albion,James Milner,489.0,James Milner
173,3,Brighton,Brighton and Hove Albion,Mats Wieffer,12758.0,Mats Wieffer
178,4,Brighton,Brighton and Hove Albion,Danny Welbeck,501.0,Danny Welbeck
180,4,Brighton,Brighton and Hove Albion,Stefanos Tzimas,14028.0,Stefanos Tzimas
168,3,Chelsea,Chelsea,Facundo Buonanotte,11362.0,Facundo Buonanotte
220,1,Chelsea,Chelsea,Robert Lynch Sánchez,9098.0,Robert Sánchez
224,2,Chelsea,Chelsea,Marc Cucurella Saseta,7134.0,Marc Cucurella
225,2,Chelsea,Chelsea,Reece James,8067.0,Reece James
226,2,Chelsea,Chelsea,Trevoh Chalobah,6615.0,Trevoh Chalobah
228,2,Chelsea,Chelsea,Malo Gusto,9017.0,Malo Gusto
230,2,Chelsea,Chelsea,Wesley Fofana,7589.0,Wesley Fofana
232,2,Chelsea,Chelsea,Tosin Adarabioyo,5590.0,Tosin Adarabioyo
233,2,Chelsea,Chelsea,Josh Acheampong,12535.0,Josh Acheampong
235,3,Chelsea,Chelsea,Cole Palmer,8497.0,Cole Palmer
236,3,Chelsea,Chelsea,Pedro Lomba Neto,6382.0,Pedro Neto
238,3,Chelsea,Chelsea,Estêvão Almeida de Oliveira Gonçalves,13775.0,Estêvão
239,3,Chelsea,Chelsea,Jamie Bynoe-Gittens,10542.0,Jamie Bynoe-Gittens
241,3,Chelsea,Chelsea,Moisés Caicedo Corozo,9453.0,Moisés Caicedo
243,3,Chelsea,Chelsea,Tyrique George,12573.0,Tyrique George
246,3,Chelsea,Chelsea,Andrey Nascimento dos Santos,11808.0,Andrey Santos
250,4,Chelsea,Chelsea,Liam Delap,8868.0,Liam Delap
252,4,Chelsea,Chelsea,Marc Guiu Paz,11633.0,Marc Guiu
453,3,Chelsea,Chelsea,Alejandro Garnacho Ferreyra,10552.0,Alejandro Garnacho
672,2,Chelsea,Chelsea,Jorrel Hato,13776.0,Jorrel Hato
253,1,Crystal Palace,Crystal Palace,Dean Henderson,7702.0,Dean Henderson
256,2,Crystal Palace,Crystal Palace,Daniel Muñoz Mejía,12408.0,Daniel Muñoz
257,2,Crystal Palace,Crystal Palace,Maxence Lacroix,8853.0,Maxence Lacroix
258,2,Crystal Palace,Crystal Palace,Tyrick Mitchell,8214.0,Tyrick Mitchell
260,2,Crystal Palace,Crystal Palace,Marc Guéhi,7603.0,Marc Guehi
261,2,Crystal Palace,Crystal Palace,Chris Richards,8430.0,Chris Richards
263,2,Crystal Palace,Crystal Palace,Nathaniel Clyne,603.0,Nathaniel Clyne
267,3,Crystal Palace,Crystal Palace,Ismaïla Sarr,5675.0,Ismaila Sarr
269,3,Crystal Palace,Crystal Palace,Romain Esse,13387.0,Romain Esse
270,3,Crystal Palace,Crystal Palace,Will Hughes,6104.0,Will Hughes
271,3,Crystal Palace,Crystal Palace,Daichi Kamada,6145.0,Daichi Kamada
272,3,Crystal Palace,Crystal Palace,Jefferson Lerma Solís,2182.0,Jefferson Lerma
273,3,Crystal Palace,Crystal Palace,Adam Wharton,12409.0,Adam Wharton
276,3,Crystal Palace,Crystal Palace,Justin Devenny,13038.0,Justin Devenny
283,4,Crystal Palace,Crystal Palace,Jean-Philippe Mateta,5735.0,Jean-Philippe Mateta
285,4,Crystal Palace,Crystal Palace,Odsonne Édouard,3697.0,Odsonne Edouard
712,3,Crystal Palace,Crystal Palace,Yéremy Pino Santos,9024.0,Yeremi Pino
732,4,Crystal Palace,Crystal Palace,Christantus Uche,12726.0,Christantus Uche
242,3,Everton,Everton,Kiernan Dewsbury-Hall,9739.0,Kiernan Dewsbury-Hall
287,1,Everton,Everton,Jordan Pickford,741.0,Jordan Pickford
291,2,Everton,Everton,James Tarkowski,1665.0,James Tarkowski
292,2,Everton,Everton,Vitalii Mykolenko,10291.0,Vitalii Mykolenko
294,2,Everton,Everton,Séamus Coleman,585.0,Seamus Coleman
295,2,Everton,Everton,Michael Keane,1653.0,Michael Keane
299,3,Everton,Everton,Iliman Ndiaye,9307.0,Iliman Ndiaye
300,3,Everton,Everton,Dwight McNeil,6756.0,Dwight McNeil
301,3,Everton,Everton,Carlos Alcaraz Durán,11297.0,Carlos Alcaraz
303,3,Everton,Everton,James Garner,7438.0,James Garner
304,3,Everton,Everton,Tim Iroegbunam,9554.0,Tim Iroegbunam
305,3,Everton,Everton,Harrison Armstrong,12757.0,Harrison Armstrong
310,4,Everton,Everton,Thierno Barry,12916.0,Thierno Barry
311,4,Everton,Everton,Norberto Bercique Gomes Betuncal,9983.0,Beto
419,3,Everton,Everton,Jack Grealish,675.0,Jack Grealish
728,3,Everton,Everton,Merlin Röhl,11331.0,Merlin Röhl
314,1,Fulham,Fulham,Bernd Leno,181.0,Bernd Leno
316,2,Fulham,Fulham,Antonee Robinson,8940.0,Antonee Robinson
317,2,Fulham,Fulham,Joachim Andersen,6314.0,Joachim Andersen
318,2,Fulham,Fulham,Calvin Bassey,11728.0,Calvin Bassey
319,2,Fulham,Fulham,Timothy Castagne,6157.0,Timothy Castagne
321,2,Fulham,Fulham,Jorge Cuenca Barreno,8489.0,Jorge Cuenca
322,2,Fulham,Fulham,Kenny Tete,5973.0,Kenny Tete
324,3,Fulham,Fulham,Alex Iwobi,500.0,Alex Iwobi
325,3,Fulham,Fulham,Emile Smith Rowe,7230.0,Emile Smith-Rowe
326,3,Fulham,Fulham,Adama Traoré Diarra,900.0,Adama Traoré
328,3,Fulham,Fulham,Ryan Sessegnon,6837.0,Ryan Sessegnon
329,3,Fulham,Fulham,Harry Wilson,5596.0,Harry Wilson
330,3,Fulham,Fulham,Sander Berge,8285.0,Sander Berge
331,3,Fulham,Fulham,Tom Cairney,6835.0,Tom Cairney
332,3,Fulham,Fulham,Saša Lukić,1537.0,Sasa Lukic
335,3,Fulham,Fulham,Josh King,12410.0,Joshua King
337,4,Fulham,Fulham,Raúl Jiménez Rodríguez,4105.0,Raúl Jiménez
338,4,Fulham,Fulham,Rodrigo Muniz Carvalho,10717.0,Rodrigo Muniz
731,3,Fulham,Fulham,Kevin Santos Lopes de Macedo,14030.0,Kevin
341,1,Leeds,Leeds United,Karl Darlow,780.0,Karl Darlow
342,2,Leeds,Leeds United,Jayden Bogle,9205.0,Jayden Bogle
343,2,Leeds,Leeds United,Pascal Struijk,8717.0,Pascal Struijk
346,2,Leeds,Leeds United,Sam Byram,902.0,Sam Byram
347,2,Leeds,Leeds United,Gabriel Gudmundsson,9944.0,Gabriel Gudmundsson
348,2,Leeds,Leeds United,Joe Rodon,6377.0,Joe Rodon
350,3,Leeds,Leeds United,Brenden Aaronson,10751.0,Brenden Aaronson
351,3,Leeds,Leeds United,Wilfried Gnonto,11155.0,Wilfried Gnonto
352,3,Leeds,Leeds United,Jack Harrison,8720.0,Jack Harrison
353,3,Leeds,Leeds United,Daniel James,5595.0,Daniel James
354,3,Leeds,Leeds United,Ethan Ampadu,6369.0,Ethan Ampadu
356,3,Leeds,Leeds United,Ilia Gruev,8000.0,Ilia Gruev
358,3,Leeds,Leeds United,Tanaka Ao,13834.0,Ao Tanaka
362,4,Leeds,Leeds United,Joël Piroe,13835.0,Joël Piroe
365,4,Leeds,Leeds United,Lukas Nmecha,6544.0,Lukas Nmecha
493,3,Leeds,Leeds United,Sean Longstaff,7078.0,Sean Longstaff
660,3,Leeds,Leeds United,Anton Stach,9910.0,Anton Stach
691,4,Leeds,Leeds United,Dominic Calvert-Lewin,5555.0,Dominic Calvert-Lewin
698,3,Leeds,Leeds United,Noah Okafor,11966.0,Noah Okafor
706,2,Leeds,Leeds United,James Justin,7753.0,James Justin
366,1,Liverpool,Liverpool,Alisson Becker,1257.0,Alisson
370,2,Liverpool,Liverpool,Jeremie Frimpong,9328.0,Jeremie Frimpong
371,2,Liverpool,Liverpool,Milos Kerkez,11709.0,Milos Kerkez
372,2,Liverpool,Liverpool,Andrew Robertson,1688.0,Andrew Robertson
373,2,Liverpool,Liverpool,Virgil van Dijk,833.0,Virgil van Dijk
374,2,Liverpool,Liverpool,Ibrahima Konaté,6326.0,Ibrahima Konaté
375,2,Liverpool,Liverpool,Conor Bradley,10120.0,Conor Bradley
376,2,Liverpool,Liverpool,Joe Gomez,987.0,Joseph Gomez
381,3,Liverpool,Liverpool,Mohamed Salah,1250.0,Mohamed Salah
382,3,Liverpool,Liverpool,Florian Wirtz,8397.0,Florian Wirtz
384,3,Liverpool,Liverpool,Cody Gakpo,11296.0,Cody Gakpo
385,3,Liverpool,Liverpool,Federico Chiesa,1433.0,Federico Chiesa
386,3,Liverpool,Liverpool,Alexis Mac Allister,8379.0,Alexis Mac Allister
387,3,Liverpool,Liverpool,Dominik Szoboszlai,9788.0,Dominik Szoboszlai
388,3,Liverpool,Liverpool,Curtis Jones,6665.0,Curtis Jones
390,3,Liverpool,Liverpool,Ryan Gravenberch,10697.0,Ryan Gravenberch
392,3,Liverpool,Liverpool,Endo Wataru,8808.0,Wataru Endo
661,4,Liverpool,Liverpool,Hugo Ekitiké,8995.0,Hugo Ekitike
686,3,Liverpool,Liverpool,Rio Ngumoha,13692.0,Rio Ngumoha
182,1,Man City,Manchester City,James Trafford,9077.0,James Trafford
402,2,Man City,Manchester City,Rayan Aït-Nouri,6674.0,Rayan Ait Nouri
403,2,Man City,Manchester City,Joško Gvardiol,9790.0,Josko Gvardiol
405,2,Man City,Manchester City,Nathan Aké,579.0,Nathan Aké
406,2,Man City,Manchester City,Abdukodir Khusanov,11763.0,Abduqodir Khusanov
407,2,Man City,Manchester City,Matheus Nunes,11000.0,Matheus Nunes
408,2,Man City,Manchester City,Rúben dos Santos Gato Alves Dias,8961.0,Rúben Dias
409,2,Man City,Manchester City,John Stones,586.0,John Stones
410,2,Man City,Manchester City,Rico Lewis,10847.0,Rico Lewis
413,3,Man City,Manchester City,Omar Marmoush,8393.0,Omar Marmoush
414,3,Man City,Manchester City,Phil Foden,6055.0,Phil Foden
415,3,Man City,Manchester City,Sávio Moreira de Oliveira,11735.0,Sávio
416,3,Man City,Manchester City,Bernardo Mota Veiga de Carvalho e Silva,3635.0,Bernardo Silva
418,3,Man City,Manchester City,Jérémy Doku,8981.0,Jéremy Doku
421,3,Man City,Manchester City,Rodrigo 'Rodri' Hernandez Cascante,2496.0,Rodri
423,3,Man City,Manchester City,Nico González Iglesias,9802.0,Nico González
424,3,Man City,Manchester City,Oscar Bobb,11903.0,Oscar Bobb
427,3,Man City,Manchester City,Tijjani Reijnders,11965.0,Tijjani Reijnders
430,4,Man City,Manchester City,Erling Haaland,8260.0,Erling Haaland
736,1,Man City,Manchester City,Gianluigi Donnarumma,1116.0,Gianluigi Donnarumma
119,3,Man Utd,Manchester United,Bryan Mbeumo,6552.0,Bryan Mbeumo
431,1,Man Utd,Manchester United,Altay Bayındır,12054.0,Altay Bayindir
436,2,Man Utd,Manchester United,Matthijs de Ligt,7902.0,Matthijs de Ligt
438,2,Man Utd,Manchester United,Noussair Mazraoui,10696.0,Noussair Mazraoui
440,2,Man Utd,Manchester United,Diogo Dalot Teixeira,7281.0,Diogo Dalot
441,2,Man Utd,Manchester United,Patrick Dorgu,11944.0,Patrick Dorgu
442,2,Man Utd,Manchester United,Harry Maguire,1687.0,Harry Maguire
443,2,Man Utd,Manchester United,Luke Shaw,1006.0,Luke Shaw
444,2,Man Utd,Manchester United,Leny Yoro,10564.0,Leny Yoro
447,2,Man Utd,Manchester United,Ayden Heaven,13080.0,Ayden Heaven
449,3,Man Utd,Manchester United,Bruno Borges Fernandes,1228.0,Bruno Fernandes
450,3,Man Utd,Manchester United,Matheus Santos Carneiro da Cunha,7080.0,Matheus Cunha
452,3,Man Utd,Manchester United,Amad Diallo,8127.0,Amad Diallo Traore
455,3,Man Utd,Manchester United,Mason Mount,7768.0,Mason Mount
457,3,Man Utd,Manchester United,Carlos Henrique Casimiro,2248.0,Casemiro
458,3,Man Utd,Manchester United,Kobbie Mainoo,11174.0,Kobbie Mainoo
459,3,Man Utd,Manchester United,Manuel Ugarte Ribeiro,11766.0,Manuel Ugarte
466,4,Man Utd,Manchester United,Joshua Zirkzee,8044.0,Joshua Zirkzee
681,4,Man Utd,Manchester United,Benjamin Sesko,11974.0,Benjamin Sesko
52,3,Newcastle,Newcastle United,Jacob Ramsey,8941.0,Jacob Ramsey
469,1,Newcastle,Newcastle United,Nick Pope,5552.0,Nick Pope
473,2,Newcastle,Newcastle United,Lewis Hall,10216.0,Lewis Hall
474,2,Newcastle,Newcastle United,Fabian Schär,76.0,Fabian Schär
475,2,Newcastle,Newcastle United,Sven Botman,8635.0,Sven Botman
476,2,Newcastle,Newcastle United,Dan Burn,7382.0,Dan Burn
477,2,Newcastle,Newcastle United,Tino Livramento,9512.0,Valentino Livramento
478,2,Newcastle,Newcastle United,Kieran Trippier,652.0,Kieran Trippier
485,3,Newcastle,Newcastle United,Anthony Gordon,8150.0,Anthony Gordon
486,3,Newcastle,Newcastle United,Anthony Elanga,9524.0,Anthony Elanga
487,3,Newcastle,Newcastle United,Harvey Barnes,6681.0,Harvey Barnes
488,3,Newcastle,Newcastle United,Bruno Guimarães Rodriguez Moura,8327.0,Bruno Guimarães
489,3,Newcastle,Newcastle United,Jacob Murphy,6063.0,Jacob Murphy
490,3,Newcastle,Newcastle United,Joelinton Cássio Apolinário de Lira,87.0,Joelinton
491,3,Newcastle,Newcastle United,Sandro Tonali,7958.0,Sandro Tonali
494,3,Newcastle,Newcastle United,Joe Willock,6630.0,Joe Willock
497,3,Newcastle,Newcastle United,Lewis Miley,11386.0,Lewis Miley
500,4,Newcastle,Newcastle United,William Osula,9556.0,William Osula
684,2,Newcastle,Newcastle United,Malick Thiaw,8378.0,Malick Thiaw
714,4,Newcastle,Newcastle United,Nick Woltemade,8117.0,Nick Woltemade
426,3,Nott'm Forest,Nottingham Forest,James McAtee,10126.0,James McAtee
502,1,Nott'm Forest,Nottingham Forest,Matz Sels,6903.0,Matz Sels
505,2,Nott'm Forest,Nottingham Forest,Nikola Milenković,6174.0,Nikola Milenkovic
506,2,Nott'm Forest,Nottingham Forest,Murillo Costa dos Santos,12123.0,Murillo
507,2,Nott'm Forest,Nottingham Forest,Ola Aina,725.0,Ola Aina
508,2,Nott'm Forest,Nottingham Forest,Neco Williams,8204.0,Neco Williams
511,2,Nott'm Forest,Nottingham Forest,Felipe Rodrigues da Silva,13068.0,Morato
515,3,Nott'm Forest,Nottingham Forest,Morgan Gibbs-White,6857.0,Morgan Gibbs-White
516,3,Nott'm Forest,Nottingham Forest,Callum Hudson-Odoi,6456.0,Callum Hudson-Odoi
517,3,Nott'm Forest,Nottingham Forest,Elliot Anderson,9154.0,Elliot Anderson
518,3,Nott'm Forest,Nottingham Forest,João Pedro Ferreira da Silva,8272.0,João Pedro
521,3,Nott'm Forest,Nottingham Forest,Ibrahim Sangaré,5722.0,Ibrahim Sangare
522,3,Nott'm Forest,Nottingham Forest,Ryan Yates,11003.0,Ryan Yates
525,4,Nott'm Forest,Nottingham Forest,Chris Wood,4456.0,Chris Wood
526,4,Nott'm Forest,Nottingham Forest,Igor Jesus Maciel da Cruz,13778.0,Igor Jesus
669,3,Nott'm Forest,Nottingham Forest,Dan Ndoye,8662.0,Dan Ndoye
693,3,Nott'm Forest,Nottingham Forest,Omari Hutchinson,10348.0,Omari Hutchinson
696,4,Nott'm Forest,Nottingham Forest,Arnaud Kalimuendo,8056.0,Arnaud Kalimuendo Muinga
716,2,Nott'm Forest,Nottingham Forest,Nicolò Savona,12905.0,Nicolò Savona
734,3,Nott'm Forest,Nottingham Forest,Dilane Bakwa,8920.0,Dilane Bakwa
532,2,Sunderland,Sunderland,Trai Hume,13713.0,Trai Hume
541,2,Sunderland,Sunderland,Reinildo Mandava,7432.0,Reinildo
542,2,Sunderland,Sunderland,Jenson Seelt,13714.0,Jenson Seelt
543,3,Sunderland,Sunderland,Simon Adingra,11710.0,Simon Adingra
544,3,Sunderland,Sunderland,Habib Diarra,9767.0,Habib Diarra
545,3,Sunderland,Sunderland,Patrick Roberts,925.0,Patrick Roberts
547,3,Sunderland,Sunderland,Enzo Le Fée,8651.0,Enzo Le Fée
551,3,Sunderland,Sunderland,Chris Rigg,13719.0,Chris Rigg
552,3,Sunderland,Sunderland,Noah Sadiki,13716.0,Noah Sadiki
553,3,Sunderland,Sunderland,Chemsdine Talbi,13717.0,Chemsdine Talbi
560,4,Sunderland,Sunderland,Wilson Isidor,7148.0,Wilson Isidor
561,4,Sunderland,Sunderland,Eliezer Mayenda Dossou,13718.0,Eliezer Mayenda
668,3,Sunderland,Sunderland,Granit Xhaka,204.0,Granit Xhaka
670,1,Sunderland,Sunderland,Robin Roefs,13712.0,Robin Roefs
683,2,Sunderland,Sunderland,Omar Alderete,8986.0,Omar Alderete
694,2,Sunderland,Sunderland,Nordi Mukiele,5659.0,Nordi Mukiele
724,2,Sunderland,Sunderland,Lutsharel Geertruida,13064.0,Lutsharel Geertruida
730,4,Sunderland,Sunderland,Brian Brobbey,9789.0,Brian Brobbey
565,1,Spurs,Tottenham Hotspur,Guglielmo Vicario,8858.0,Guglielmo Vicario
568,2,Spurs,Tottenham Hotspur,Pedro Porro Sauceda,6912.0,Pedro Porro
569,2,Spurs,Tottenham Hotspur,Cristian Romero,7218.0,Cristian Romero
570,2,Spurs,Tottenham Hotspur,Kevin Danso,5261.0,Kevin Danso
573,2,Spurs,Tottenham Hotspur,Djed Spence,10764.0,Djed Spence
574,2,Spurs,Tottenham Hotspur,Destiny Udogie,8831.0,Iyenoma Destiny Udogie
575,2,Spurs,Tottenham Hotspur,Micky van de Ven,10050.0,Micky van de Ven
580,3,Spurs,Tottenham Hotspur,Brennan Johnson,10760.0,Brennan Johnson
582,3,Spurs,Tottenham Hotspur,Mohammed Kudus,12027.0,Mohammed Kudus
584,3,Spurs,Tottenham Hotspur,Mathys Tel,9780.0,Mathys Tel
586,3,Spurs,Tottenham Hotspur,Lucas Bergvall,12912.0,Lucas Bergvall
588,3,Spurs,Tottenham Hotspur,Wilson Odobert,10822.0,Wilson Odobert
591,3,Spurs,Tottenham Hotspur,Archie Gray,10184.0,Archie Gray
593,3,Spurs,Tottenham Hotspur,Pape Matar Sarr,9021.0,Pape Sarr
596,4,Spurs,Tottenham Hotspur,Dominic Solanke-Mitchell,1679.0,Dominic Solanke
597,4,Spurs,Tottenham Hotspur,Richarlison de Andrade,6026.0,Richarlison
673,3,Spurs,Tottenham Hotspur,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,10715.0,João Palhinha
