PGM_names,PGM_odds,SMM_names,SMM_odds,contest
Brennan Johnson PGM,8 - 11,Brennan Johnson SMM,12 - 16,Man City v Tottenham
Mohammed Kudus PGM,7 - 10,Mohammed Kudus SMM,10 - 14,Man City v Tottenham
Wilson Odobert PGM,6 - 9,Wilson Odobert SMM,9 - 13,Man City v Tottenham
Pape Sarr PGM,4 - 7,Pape Sarr SMM,6 - 9,Man City v Tottenham
Lucas Bergvall PGM,2.5 - 5,Lucas Bergvall SMM,4 - 7,Man City v Tottenham
Pedro Porro PGM,2 - 4,Pedro Porro SMM,2.5 - 5,Man City v Tottenham
Cristian Romero PGM,2 - 4,Cristian Romero SMM,2.5 - 5,Man City v Tottenham
Joao Palhinha PGM,2 - 4,Joao Palhinha SMM,2.5 - 5,Man City v Tottenham
Rodrigo Bentancur PGM,1 - 3,Rodrigo Bentancur SMM,2 - 4,Man City v Tottenham
Micky van de Ven PGM,1 - 3,Micky van de Ven SMM,2 - 4,Man City v Tottenham
Kevin Danso PGM,1 - 3,Kevin Danso SMM,2 - 4,Man City v Tottenham
Djed Spence PGM,1 - 3,Djed Spence SMM,2 - 4,Man City v Tottenham
Destiny Udogie PGM,1 - 3,Destiny Udogie SMM,2 - 4,Man City v Tottenham
Archie Gray PGM,0.5 - 2,Archie Gray SMM,1 - 3,Man City v Tottenham
Yves Bissouma PGM,0.5 - 2,Yves Bissouma SMM,1 - 3,Man City v Tottenham
Ben Davies PGM,0.5 - 2,Ben Davies SMM,1 - 3,Man City v Tottenham
Evanilson PGM,20 - 23,Evanilson SMM,30 - 36,Bournemouth v Wolves
Eli Junior Kroupi PGM,19 - 22,Eli Junior Kroupi SMM,28 - 33,Bournemouth v Wolves
Antoine Semenyo PGM,18 - 21,Antoine Semenyo SMM,27 - 32,Bournemouth v Wolves
Hamed Traore PGM,11 - 14,Hamed Traore SMM,17 - 21,Bournemouth v Wolves
David Brooks PGM,9 - 12,David Brooks SMM,13 - 17,Bournemouth v Wolves
Marcus Tavernier PGM,9 - 12,Marcus Tavernier SMM,12 - 16,Bournemouth v Wolves
Philip Billing PGM,9 - 12,Philip Billing SMM,12 - 16,Bournemouth v Wolves
Ben Winterburn PGM,5 - 8,Ben Winterburn SMM,7 - 10,Bournemouth v Wolves
Alex Scott PGM,4 - 7,Alex Scott SMM,6 - 9,Bournemouth v Wolves
Bafode Diakite PGM,3 - 6,Bafode Diakite SMM,5 - 8,Bournemouth v Wolves
Marcos Senesi PGM,2.5 - 5,Marcos Senesi SMM,4 - 7,Bournemouth v Wolves
Adrien Truffert PGM,2 - 4,Adrien Truffert SMM,4 - 7,Bournemouth v Wolves
Julian Araujo PGM,2 - 4,Julian Araujo SMM,2.5 - 5,Bournemouth v Wolves
James Hill PGM,1 - 3,James Hill SMM,2 - 4,Bournemouth v Wolves
Tyler Adams PGM,1 - 3,Tyler Adams SMM,2 - 4,Bournemouth v Wolves
Julio Soler PGM,1 - 3,Julio Soler SMM,2 - 4,Bournemouth v Wolves
Adam Smith PGM,0.5 - 2,Adam Smith SMM,1 - 3,Bournemouth v Wolves
Jorgen Strand Larsen PGM,15 - 18,Jorgen Strand Larsen SMM,22 - 27,Bournemouth v Wolves
Fer Lopez PGM,8 - 11,Fer Lopez SMM,12 - 16,Bournemouth v Wolves
Hwang Hee-chan PGM,8 - 11,Hwang Hee-chan SMM,12 - 16,Bournemouth v Wolves
Marshall Munetsi PGM,7 - 10,Marshall Munetsi SMM,10 - 14,Bournemouth v Wolves
Jhon Arias PGM,5 - 8,Jhon Arias SMM,8 - 11,Bournemouth v Wolves
Jean-Ricner Bellegarde PGM,4 - 7,Jean-Ricner Bellegarde SMM,6 - 9,Bournemouth v Wolves
Rodrigo Gomes PGM,4 - 7,Rodrigo Gomes SMM,6 - 9,Bournemouth v Wolves
Joao Gomes PGM,2.5 - 5,Joao Gomes SMM,4 - 7,Bournemouth v Wolves
David Moller Wolfe PGM,2.5 - 5,David Moller Wolfe SMM,4 - 7,Bournemouth v Wolves
Matt Doherty PGM,2 - 4,Matt Doherty SMM,2.5 - 5,Bournemouth v Wolves
Yerson Mosquera PGM,2 - 4,Yerson Mosquera SMM,2.5 - 5,Bournemouth v Wolves
Ki-Jana Hoever PGM,2 - 4,Ki-Jana Hoever SMM,2.5 - 5,Bournemouth v Wolves
Emmanuel Agbadou PGM,1 - 3,Emmanuel Agbadou SMM,2 - 4,Bournemouth v Wolves
Toti Gomes PGM,1 - 3,Toti Gomes SMM,2 - 4,Bournemouth v Wolves
Hugo Bueno PGM,0.5 - 2,Hugo Bueno SMM,1 - 3,Bournemouth v Wolves
Santiago Bueno PGM,0.5 - 2,Santiago Bueno SMM,1 - 3,Bournemouth v Wolves
Andre PGM,0.5 - 2,Andre SMM,1 - 3,Bournemouth v Wolves
Igor Thiago PGM,18 - 21,Igor Thiago SMM,28 - 33,Brentford v Aston Villa
Kevin Schade PGM,10 - 13,Kevin Schade SMM,16 - 20,Brentford v Aston Villa
Dango Ouattara PGM,9 - 12,Dango Ouattara SMM,13 - 17,Brentford v Aston Villa
Fabio Carvalho PGM,9 - 12,Fabio Carvalho SMM,13 - 17,Brentford v Aston Villa
Keane Lewis-Potter PGM,7 - 10,Keane Lewis-Potter SMM,10 - 14,Brentford v Aston Villa
Antoni Milambo PGM,4 - 7,Antoni Milambo SMM,6 - 9,Brentford v Aston Villa
Mikkel Damsgaard PGM,3 - 6,Mikkel Damsgaard SMM,6 - 9,Brentford v Aston Villa
Frank Onyeka PGM,2.5 - 5,Frank Onyeka SMM,4 - 7,Brentford v Aston Villa
Yehor Yarmolyuk PGM,2.5 - 5,Yehor Yarmolyuk SMM,4 - 7,Brentford v Aston Villa
Mathias Jensen PGM,2.5 - 5,Mathias Jensen SMM,4 - 7,Brentford v Aston Villa
Nathan Collins  PGM,2 - 4,Nathan Collins  SMM,2.5 - 5,Brentford v Aston Villa
Jordan Henderson PGM,2 - 4,Jordan Henderson SMM,2.5 - 5,Brentford v Aston Villa
Sepp van den Berg PGM,1 - 3,Sepp van den Berg SMM,2 - 4,Brentford v Aston Villa
Michael Kayode PGM,1 - 3,Michael Kayode SMM,2 - 4,Brentford v Aston Villa
Mads Roerslev PGM,1 - 3,Mads Roerslev SMM,2 - 4,Brentford v Aston Villa
Rico Henry PGM,0.5 - 2,Rico Henry SMM,1 - 3,Brentford v Aston Villa
Aaron Hickey PGM,0.5 - 2,Aaron Hickey SMM,1 - 3,Brentford v Aston Villa
Kristoffer Ajer PGM,0.5 - 2,Kristoffer Ajer SMM,1 - 3,Brentford v Aston Villa
Yoane Wissa PGM,19 - 22,Yoane Wissa SMM,28 - 34,Brentford v Aston Villa
Ollie Watkins PGM,24 - 27,Ollie Watkins SMM,39 - 45,Brentford v Aston Villa
Donyell Malen PGM,12 - 15,Donyell Malen SMM,18 - 22,Brentford v Aston Villa
Morgan Rogers PGM,11 - 14,Morgan Rogers SMM,17 - 21,Brentford v Aston Villa
Evann Guessand PGM,11 - 14,Evann Guessand SMM,17 - 21,Brentford v Aston Villa
Emiliano Buendia PGM,9 - 12,Emiliano Buendia SMM,13 - 17,Brentford v Aston Villa
Samuel Iling-Junior PGM,6 - 9,Samuel Iling-Junior SMM,9 - 13,Brentford v Aston Villa
John McGinn PGM,6 - 9,John McGinn SMM,8 - 11,Brentford v Aston Villa
Youri Tielemans PGM,5 - 8,Youri Tielemans SMM,7 - 10,Brentford v Aston Villa
Amadou Onana PGM,5 - 8,Amadou Onana SMM,7 - 10,Brentford v Aston Villa
Matty Cash PGM,2 - 4,Matty Cash SMM,2.5 - 5,Brentford v Aston Villa
Ian Maatsen PGM,2 - 4,Ian Maatsen SMM,2.5 - 5,Brentford v Aston Villa
Tyrone Mings PGM,1 - 3,Tyrone Mings SMM,2 - 4,Brentford v Aston Villa
Pau Torres PGM,1 - 3,Pau Torres SMM,2 - 4,Brentford v Aston Villa
Lucas Digne PGM,1 - 3,Lucas Digne SMM,2 - 4,Brentford v Aston Villa
Boubacar Kamara PGM,1 - 3,Boubacar Kamara SMM,2 - 4,Brentford v Aston Villa
Lamare Bogarde PGM,0.5 - 2,Lamare Bogarde SMM,1 - 3,Brentford v Aston Villa
Zian Flemming PGM,16 - 19,Zian Flemming SMM,24 - 29,Burnley v Sunderland
Jaidon Anthony PGM,13 - 16,Jaidon Anthony SMM,19 - 23,Burnley v Sunderland
Lyle Foster PGM,13 - 16,Lyle Foster SMM,19 - 23,Burnley v Sunderland
Ashley Barnes PGM,13 - 16,Ashley Barnes SMM,19 - 23,Burnley v Sunderland
Armando Broja PGM,12 - 15,Armando Broja SMM,17 - 21,Burnley v Sunderland
Jacob Bruun Larsen PGM,10 - 13,Jacob Bruun Larsen SMM,14 - 18,Burnley v Sunderland
Aaron Ramsey PGM,10 - 13,Aaron Ramsey SMM,14 - 18,Burnley v Sunderland
Marcus Edwards PGM,6 - 9,Marcus Edwards SMM,9 - 13,Burnley v Sunderland
Loum Tchaouna PGM,6 - 9,Loum Tchaouna SMM,8 - 11,Burnley v Sunderland
Jaydon Banel PGM,5 - 8,Jaydon Banel SMM,7 - 10,Burnley v Sunderland
Josh Laurent PGM,4 - 7,Josh Laurent SMM,7 - 10,Burnley v Sunderland
Oliver Sonne PGM,4 - 7,Oliver Sonne SMM,6 - 9,Burnley v Sunderland
Hannibal Mejbri PGM,3 - 6,Hannibal Mejbri SMM,5 - 8,Burnley v Sunderland
Luca Koleosho PGM,3 - 6,Luca Koleosho SMM,5 - 8,Burnley v Sunderland
Hjalmar Ekdal PGM,2.5 - 5,Hjalmar Ekdal SMM,5 - 8,Burnley v Sunderland
Connor Roberts PGM,2 - 4,Connor Roberts SMM,4 - 7,Burnley v Sunderland
Josh Cullen PGM,2 - 4,Josh Cullen SMM,2.5 - 5,Burnley v Sunderland
Lesley Ugochukwu PGM,2 - 4,Lesley Ugochukwu SMM,2.5 - 5,Burnley v Sunderland
Bashir Humphreys PGM,2 - 4,Bashir Humphreys SMM,2.5 - 5,Burnley v Sunderland
Lucas Pires PGM,1 - 3,Lucas Pires SMM,2 - 4,Burnley v Sunderland
Hannes Delcroix PGM,1 - 3,Hannes Delcroix SMM,2 - 4,Burnley v Sunderland
Maxime Esteve PGM,0.5 - 2,Maxime Esteve SMM,1 - 3,Burnley v Sunderland
Quilindschy Hartman PGM,0.5 - 2,Quilindschy Hartman SMM,1 - 3,Burnley v Sunderland
Joe Worral PGM,0.25 - 1.5,Joe Worral SMM,0.5 - 2,Burnley v Sunderland
Axel Tuanzebe PGM,0.25 - 1.5,Axel Tuanzebe SMM,0.5 - 2,Burnley v Sunderland
Kyle Walker PGM,0.25 - 1.5,Kyle Walker SMM,0.5 - 2,Burnley v Sunderland
Wilson Isidor PGM,14 - 17,Wilson Isidor SMM,20 - 24,Burnley v Sunderland
Eliezer Mayenda PGM,13 - 16,Eliezer Mayenda SMM,19 - 23,Burnley v Sunderland
Marc Guiu PGM,11 - 14,Marc Guiu SMM,16 - 20,Burnley v Sunderland
Simon Adingra PGM,6 - 9,Simon Adingra SMM,9 - 13,Burnley v Sunderland
Chris Rigg PGM,5 - 8,Chris Rigg SMM,7 - 10,Burnley v Sunderland
Chemsdine Talbi PGM,5 - 8,Chemsdine Talbi SMM,7 - 10,Burnley v Sunderland
Harrison Jones PGM,4 - 7,Harrison Jones SMM,7 - 10,Burnley v Sunderland
Habib Diarra PGM,4 - 7,Habib Diarra SMM,6 - 9,Burnley v Sunderland
Alan Browne PGM,3 - 6,Alan Browne SMM,5 - 8,Burnley v Sunderland
Daniel Ballard PGM,2.5 - 5,Daniel Ballard SMM,5 - 8,Burnley v Sunderland
Dennis Cirkin PGM,2.5 - 5,Dennis Cirkin SMM,5 - 8,Burnley v Sunderland
Patrick Roberts PGM,2.5 - 5,Patrick Roberts SMM,4 - 7,Burnley v Sunderland
Enzo Le Fee PGM,2 - 4,Enzo Le Fee SMM,4 - 7,Burnley v Sunderland
Granit Xhaka PGM,2 - 4,Granit Xhaka SMM,2.5 - 5,Burnley v Sunderland
Jenson Seelt PGM,2 - 4,Jenson Seelt SMM,2.5 - 5,Burnley v Sunderland
Trai Hume PGM,1 - 3,Trai Hume SMM,2 - 4,Burnley v Sunderland
Omar Alderete PGM,1 - 3,Omar Alderete SMM,2 - 4,Burnley v Sunderland
Nordi Mukiele PGM,1 - 3,Nordi Mukiele SMM,2 - 4,Burnley v Sunderland
Nectarios Triantis PGM,1 - 3,Nectarios Triantis SMM,2 - 4,Burnley v Sunderland
Noah Sadiki PGM,1 - 3,Noah Sadiki SMM,2 - 4,Burnley v Sunderland
Niall Huggins PGM,0.5 - 2,Niall Huggins SMM,1 - 3,Burnley v Sunderland
Dan Neil PGM,0.5 - 2,Dan Neil SMM,1 - 3,Burnley v Sunderland
Reinildo Mandava PGM,0.25 - 1.5,Reinildo Mandava SMM,0.5 - 2,Burnley v Sunderland
Arthur Masuaku PGM,0.25 - 1.5,Arthur Masuaku SMM,0.5 - 2,Burnley v Sunderland
Joe Anderson PGM,0.1 - 1,Joe Anderson SMM,0.25 - 1.5,Burnley v Sunderland
Viktor Gyokeres PGM,34 - 37,Viktor Gyokeres SMM,56 - 66,Arsenal v Leeds
Bukayo Saka PGM,22 - 25,Bukayo Saka SMM,35 - 41,Arsenal v Leeds
Noni Madueke PGM,15 - 18,Noni Madueke SMM,22 - 27,Arsenal v Leeds
Leandro Trossard PGM,14 - 17,Leandro Trossard SMM,20 - 24,Arsenal v Leeds
Ethan Nwaneri PGM,14 - 17,Ethan Nwaneri SMM,20 - 24,Arsenal v Leeds
Gabriel Martinelli PGM,11 - 14,Gabriel Martinelli SMM,17 - 21,Arsenal v Leeds
Martin Odegaard PGM,9 - 12,Martin Odegaard SMM,13 - 17,Arsenal v Leeds
Mikel Merino PGM,21 - 24,Mikel Merino SMM,32 - 38,Arsenal v Leeds
Declan Rice PGM,8 - 11,Declan Rice SMM,12 - 16,Arsenal v Leeds
Gabriel PGM,6 - 9,Gabriel SMM,9 - 13,Arsenal v Leeds
Riccardo Calafiori PGM,5 - 8,Riccardo Calafiori SMM,7 - 10,Arsenal v Leeds
Christian Norgaard PGM,4 - 7,Christian Norgaard SMM,7 - 10,Arsenal v Leeds
Martin Zubimendi PGM,4 - 7,Martin Zubimendi SMM,6 - 9,Arsenal v Leeds
Ben White PGM,2 - 4,Ben White SMM,4 - 7,Arsenal v Leeds
William Saliba PGM,2 - 4,William Saliba SMM,4 - 7,Arsenal v Leeds
Myles Lewis-Skelly PGM,2 - 4,Myles Lewis-Skelly SMM,4 - 7,Arsenal v Leeds
Jurrien Timber PGM,2 - 4,Jurrien Timber SMM,4 - 7,Arsenal v Leeds
Cristhian Mosquera PGM,2 - 4,Cristhian Mosquera SMM,2.5 - 5,Arsenal v Leeds
Joel Piroe PGM,8 - 11,Joel Piroe SMM,12 - 16,Arsenal v Leeds
Lukas Nmecha PGM,7 - 10,Lukas Nmecha SMM,10 - 14,Arsenal v Leeds
Wilfried Gnonto PGM,5 - 8,Wilfried Gnonto SMM,7 - 10,Arsenal v Leeds
Daniel James PGM,4 - 7,Daniel James SMM,7 - 10,Arsenal v Leeds
Largie Ramazani PGM,4 - 7,Largie Ramazani SMM,7 - 10,Arsenal v Leeds
Brenden Aaronson PGM,3 - 6,Brenden Aaronson SMM,5 - 8,Arsenal v Leeds
Anton Stach PGM,2 - 4,Anton Stach SMM,2.5 - 5,Arsenal v Leeds
Ao Tanaka PGM,2 - 4,Ao Tanaka SMM,2.5 - 5,Arsenal v Leeds
Jayden Bogle PGM,1 - 3,Jayden Bogle SMM,2 - 4,Arsenal v Leeds
Pascal Struijk PGM,1 - 3,Pascal Struijk SMM,2 - 4,Arsenal v Leeds
Sean Longstaff PGM,1 - 3,Sean Longstaff SMM,2 - 4,Arsenal v Leeds
Gabriel Gudmondsson PGM,0.5 - 2,Gabriel Gudmondsson SMM,1 - 3,Arsenal v Leeds
Sam Byram PGM,0.5 - 2,Sam Byram SMM,1 - 3,Arsenal v Leeds
Ilia Gruev PGM,0.5 - 2,Ilia Gruev SMM,1 - 3,Arsenal v Leeds
Joe Rodon PGM,0.25 - 1.5,Joe Rodon SMM,0.5 - 2,Arsenal v Leeds
Ethan Ampadu PGM,0.25 - 1.5,Ethan Ampadu SMM,0.5 - 2,Arsenal v Leeds
Dominic Calvert-Lewin PGM,9 - 12,Dominic Calvert-Lewin SMM,12 - 16,Arsenal v Leeds
Jean-Philippe Mateta PGM,21 - 24,Jean-Philippe Mateta SMM,32 - 38,Crystal Palace v Nottingham Forest
Odsonne Edouard PGM,17 - 20,Odsonne Edouard SMM,27 - 32,Crystal Palace v Nottingham Forest
Ismaila Sarr PGM,12 - 15,Ismaila Sarr SMM,18 - 22,Crystal Palace v Nottingham Forest
Romain Esse PGM,8 - 11,Romain Esse SMM,12 - 16,Crystal Palace v Nottingham Forest
Jesurun Rak-Sakyi PGM,8 - 11,Jesurun Rak-Sakyi SMM,12 - 16,Crystal Palace v Nottingham Forest
Justin Devenny PGM,8 - 11,Justin Devenny SMM,12 - 16,Crystal Palace v Nottingham Forest
Daniel Munoz PGM,4 - 7,Daniel Munoz SMM,6 - 9,Crystal Palace v Nottingham Forest
Maxence Lacroix PGM,2 - 4,Maxence Lacroix SMM,4 - 7,Crystal Palace v Nottingham Forest
Chris Richards PGM,1 - 3,Chris Richards SMM,2.5 - 5,Crystal Palace v Nottingham Forest
Jefferson Lerma PGM,1 - 3,Jefferson Lerma SMM,2.5 - 5,Crystal Palace v Nottingham Forest
Marc Guehi PGM,1 - 3,Marc Guehi SMM,2 - 4,Crystal Palace v Nottingham Forest
Adam Wharton PGM,1 - 3,Adam Wharton SMM,2 - 4,Crystal Palace v Nottingham Forest
Will Hughes PGM,1 - 3,Will Hughes SMM,2 - 4,Crystal Palace v Nottingham Forest
Tyrick Mitchell PGM,1 - 3,Tyrick Mitchell SMM,2 - 4,Crystal Palace v Nottingham Forest
Borna Sosa PGM,0.5 - 2,Borna Sosa SMM,1 - 3,Crystal Palace v Nottingham Forest
Nathaniel Clyne PGM,0.25 - 1.5,Nathaniel Clyne SMM,0.5 - 2,Crystal Palace v Nottingham Forest
Chris Wood PGM,17 - 20,Chris Wood SMM,27 - 32,Crystal Palace v Nottingham Forest
Arnaud Kalimuendo PGM,15 - 18,Arnaud Kalimuendo SMM,21 - 26,Crystal Palace v Nottingham Forest
Taiwo Awoniyi PGM,13 - 16,Taiwo Awoniyi SMM,19 - 23,Crystal Palace v Nottingham Forest
Igor Jesus PGM,12 - 15,Igor Jesus SMM,17 - 21,Crystal Palace v Nottingham Forest
Dan Ndoye PGM,7 - 10,Dan Ndoye SMM,10 - 14,Crystal Palace v Nottingham Forest
Jota Silva PGM,7 - 10,Jota Silva SMM,10 - 14,Crystal Palace v Nottingham Forest
Morgan Gibbs-White PGM,6 - 9,Morgan Gibbs-White SMM,9 - 13,Crystal Palace v Nottingham Forest
Callum Hudson-Odoi PGM,6 - 9,Callum Hudson-Odoi SMM,8 - 11,Crystal Palace v Nottingham Forest
Nikola Milenkovic PGM,2.5 - 5,Nikola Milenkovic SMM,4 - 7,Crystal Palace v Nottingham Forest
Ryan Yates PGM,2.5 - 5,Ryan Yates SMM,4 - 7,Crystal Palace v Nottingham Forest
