,manager_id,gw,active_chip,automatic_subs,gw_points,points_on_bench,event_transfers,event_transfers_cost,total_points,picks,value,captain,vice_captain,bank,rank,rank_sort,overall_rank
47,593464,10,,"[(703, 199)]",73,3,2,4,606,"(424, 311, 369, 36, 703, 43, 308, 19, 516, 355, 60, 28, 199, 33, 160)",1013,60,516,7,3155293,3160487,1626288
48,593464,11,,[],19,12,2,4,621,"(524, 369, 36, 311, 516, 43, 308, 19, 132, 60, 355, 28, 703, 199, 160)",1018,308,355,4,9634779,9637084,2521595
49,593464,12,,"[(199, 132)]",71,1,1,0,692,"(524, 5, 369, 36, 43, 308, 19, 516, 199, 355, 60, 28, 703, 132, 160)",1018,308,355,1,3357345,3363577,2339454
50,593464,13,,[],55,9,1,0,747,"(524, 369, 36, 5, 516, 43, 308, 19, 132, 60, 355, 28, 199, 419, 160)",1021,308,355,0,1874748,1880655,1947911
51,593464,14,,[],47,31,1,0,794,"(524, 369, 36, 5, 516, 43, 308, 19, 132, 415, 355, 28, 199, 419, 160)",1019,308,355,7,7881395,7885035,2477323
52,593464,15,wildcard,[],36,8,0,0,830,"(301, 427, 197, 5, 516, 108, 308, 19, 135, 415, 355, 524, 199, 245, 160)",1014,19,355,0,4346306,4357049,2448830
53,593464,16,,"[(199, 355)]",56,7,1,0,886,"(301, 5, 197, 427, 412, 308, 19, 516, 199, 135, 415, 524, 355, 245, 160)",1016,355,308,10,1835746,1841963,1947621
54,593464,17,,"[(199, 355), (160, 415)]",33,0,1,0,919,"(77, 5, 197, 427, 160, 412, 308, 19, 516, 199, 135, 524, 355, 245, 415)",1020,308,516,5,8351561,8352445,2578934
55,593464,18,,"[(245, 199)]",39,13,2,4,954,"(77, 5, 197, 506, 245, 412, 308, 19, 516, 135, 433, 524, 355, 199, 160)",1020,433,516,0,4372323,4375901,2824965
56,593464,19,,"[(245, 355)]",47,11,0,0,1001,"(77, 5, 197, 506, 245, 412, 308, 19, 516, 135, 433, 524, 199, 355, 160)",1024,308,412,0,1878222,1884346,2541688
57,593464,20,,[],64,8,2,0,1065,"(524, 506, 197, 5, 245, 516, 382, 308, 19, 135, 212, 77, 355, 412, 160)",1026,516,308,5,4627192,4629310,2709186
58,593464,21,,"[(150, 355)]",64,1,2,4,1125,"(524, 5, 245, 197, 506, 150, 412, 19, 382, 135, 343, 77, 355, 516, 308)",1026,355,19,9,1495299,1500367,2389745
59,593464,22,,[],47,2,1,0,1172,"(524, 506, 5, 245, 349, 412, 382, 19, 355, 135, 343, 77, 150, 516, 197)",1024,355,349,32,5909887,5915935,2599423
60,593464,23,,[],59,8,1,0,1231,"(77, 506, 150, 407, 349, 412, 382, 19, 355, 135, 343, 524, 5, 516, 245)",1025,355,349,34,4802250,4806070,2752698
61,593464,24,,[],77,2,1,0,1308,"(77, 506, 5, 407, 349, 294, 382, 19, 516, 355, 343, 524, 135, 150, 245)",1026,355,349,14,1898849,1903528,2432003
62,593464,25,,[],75,10,1,0,1383,"(524, 313, 5, 407, 349, 294, 382, 19, 516, 355, 343, 77, 135, 150, 245)",1025,355,294,6,4942993,4946825,2439297
63,593464,26,,[],42,7,2,4,1421,"(524, 150, 5, 245, 349, 382, 19, 557, 85, 355, 343, 77, 407, 313, 516)",1027,355,245,14,6421331,6424557,2762455
64,593464,27,,[],80,17,3,8,1493,"(77, 313, 5, 407, 349, 516, 19, 34, 60, 355, 119, 524, 245, 150, 382)",1029,19,60,5,1492140,1492929,2687866
65,593464,28,,[],61,13,1,0,1554,"(77, 313, 5, 150, 349, 516, 19, 34, 82, 60, 355, 524, 382, 245, 407)",1032,355,82,16,1291309,1295250,2362843
66,593464,29,freehit,[],20,16,0,0,1574,"(101, 42, 519, 321, 526, 516, 504, 34, 117, 60, 326, 524, 689, 465, 283)",1031,516,117,16,1648563,1676235,2265899
67,593464,30,,[],43,10,2,4,1613,"(77, 313, 407, 245, 308, 516, 19, 34, 382, 293, 355, 524, 82, 5, 150)",1033,516,308,5,6628203,6629296,2557437
68,593464,31,,"[(82, 19), (245, 355)]",66,6,1,0,1679,"(77, 5, 407, 313, 245, 362, 308, 382, 516, 82, 293, 524, 19, 355, 150)",1034,308,19,2,1807252,1811202,2358558
69,593464,32,,[],70,13,1,0,1749,"(77, 245, 407, 5, 308, 516, 19, 362, 382, 293, 355, 409, 82, 313, 150)",1037,362,516,2,1496976,1501567,2183003
70,593464,33,,[],77,11,0,0,1826,"(77, 313, 150, 5, 308, 516, 19, 362, 382, 293, 355, 409, 82, 245, 407)",1040,362,516,2,1902190,1906330,2056426
71,593464,34,,"[(407, 355)]",80,2,2,0,1906,"(77, 5, 245, 313, 407, 308, 19, 382, 226, 293, 85, 409, 362, 355, 150)",1038,308,19,9,4710546,4713261,2173198
72,593464,35,wildcard,"[(355, 353)]",83,4,0,0,1989,"(687, 387, 407, 639, 362, 373, 19, 516, 355, 211, 415, 409, 353, 5, 150)",1027,362,19,2,268324,270246,1798408
73,593464,36,,"[(639, 387), (211, 373)]",95,6,0,0,2084,"(409, 5, 639, 407, 362, 19, 516, 353, 211, 355, 415, 687, 373, 387, 150)",1031,19,415,2,1035633,1039099,1547681
74,593464,37,bboost,[],116,0,2,0,2200,"(409, 151, 407, 5, 516, 373, 19, 362, 353, 415, 355, 687, 211, 639, 238)",1036,355,415,2,1412639,1415288,1399179
75,593464,38,3xc,"[(373, 19)]",60,6,0,0,2260,"(687, 5, 407, 639, 362, 373, 516, 353, 355, 211, 415, 409, 19, 151, 238)",1037,355,19,2,3625128,3630088,1449069
76,3086421,1,,[],78,4,0,0,78,"(230, 195, 5, 131, 12, 19, 373, 396, 143, 60, 355, 28, 33, 602, 160)",1000,355,373,10,1020807,1113422,1020807
77,3086421,2,,[],45,2,0,0,123,"(28, 195, 5, 131, 12, 19, 373, 396, 143, 60, 355, 230, 33, 602, 160)",1003,355,19,10,4202702,4250167,1829113
