assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,fpl_id,position_x,team,goals,shots,xG,time,position_y,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,understat_id,player_team,FPL_Name,Understat_Name,position
20,0,3,43,0,46.4,182,0.5,1.19,0.69,1.18,208,2,1,13.3,49.2,2025-01-14,90,0,0,0,0,0,0,0,False,3,0,0,0,0,21,0,7688300,1,2,2,37.0,10,17898,90866,72968,114,True,0,182,,,1,4,0.5565934777259827,90,AMC,Chelsea,Bournemouth,2,2,26809,2024,699118,0.4563461244106293,0,2,1,0.5565934777259827,0.7174117565155029,0.2093793451786041,8497,Chelsea,Cole Palmer,Cole Palmer,MID
21,0,0,14,0,33.3,182,0.22,0.41,0.19,0.83,213,1,0,7.2,8.8,2025-01-20,83,0,0,0,0,0,0,0,False,20,0,0,0,0,22,0,7634967,1,1,3,30.0,2,-59393,61130,120523,114,True,0,182,,,0,3,0.1878786832094192,90,AMC,Chelsea,Wolverhampton Wanderers,3,1,26814,2024,701008,0.0827453732490539,0,2,0,0.1878786832094192,0.9887948632240297,0.782565176486969,8497,Chelsea,Cole Palmer,Cole Palmer,MID
22,0,0,16,0,12.3,182,0.14,0.21,0.07,2.5,227,3,0,3.4,10.8,2025-01-25,90,0,0,0,0,0,0,0,False,13,0,0,0,0,23,0,7388472,1,1,3,11.0,2,-254621,42785,297406,113,False,0,182,,,0,1,0.0361131578683853,90,AMC,Manchester City,Chelsea,3,1,26828,2024,701670,0.0172510147094726,0,1,0,0.0361131578683853,0.3132925033569336,0.3132925033569336,8497,Chelsea,Cole Palmer,Cole Palmer,MID
23,1,2,28,0,44.7,182,0.42,0.71,0.29,0.72,234,1,0,8.8,12.8,2025-02-03,89,0,0,0,0,0,0,0,False,19,0,0,0,0,24,0,7279644,1,1,2,30.0,6,-132246,70149,202395,113,True,1,182,,,0,7,0.2787445485591888,90,AMC,Chelsea,West Ham,2,1,26835,2024,704443,0.1228639408946037,0,3,0,0.2787445485591888,0.3714583814144134,0.1650248914957046,8497,Chelsea,Cole Palmer,Cole Palmer,MID
24,0,0,12,0,5.5,182,0.18,0.34,0.16,1.42,242,3,0,1.9,0.4,2025-02-14,90,0,0,0,0,0,0,0,False,5,0,0,0,0,25,0,7146161,1,0,3,13.0,2,-140217,54957,195174,112,False,0,182,,,0,2,0.127222940325737,90,AMC,Brighton,Chelsea,3,0,26843,2024,705896,0.0,0,0,0,0.127222940325737,0.5810031890869141,0.4537802338600158,8497,Chelsea,Cole Palmer,Cole Palmer,MID
25,0,0,13,0,29.9,182,0.27,0.7,0.43,2.33,252,2,0,5.9,15.4,2025-02-22,90,0,0,0,0,0,0,0,False,2,0,0,0,0,26,0,6884931,1,1,2,14.0,2,-281190,37129,318319,111,False,0,182,,,0,3,0.2655441761016845,90,AMR,Aston Villa,Chelsea,2,1,26854,2024,708094,0.3873041570186615,0,2,0,0.2655441761016845,0.6528483033180237,0.0,8497,Chelsea,Cole Palmer,Cole Palmer,MID
26,0,0,6,1,23.3,182,0.1,1.4,1.3,0.72,268,0,0,8.6,8.4,2025-02-25,90,0,0,0,0,0,0,0,False,17,0,0,0,0,27,0,6935326,1,0,4,54.0,3,31289,196925,165636,111,True,0,182,,,0,7,1.13455069065094,90,AMC,Chelsea,Southampton,4,0,26869,2024,709002,0.0250541865825653,0,1,0,1.13455069065094,1.0909250974655151,0.020727090537548,8497,Chelsea,Cole Palmer,Cole Palmer,MID
27,0,0,9,1,24.7,182,0.17,1.22,1.05,0.06,273,0,0,7.4,12.4,2025-03-09,72,0,0,0,0,0,0,0,False,11,0,1,0,0,28,0,6715374,1,0,1,37.0,1,-223771,56774,280545,110,True,0,182,,,0,5,0.9188243746757508,79,AMC,Chelsea,Leicester,1,0,26874,2024,711974,0.1043467223644256,0,2,0,0.1576555371284485,0.3336646258831024,0.1256779879331588,8497,Chelsea,Cole Palmer,Cole Palmer,MID
28,1,1,31,1,31.0,182,0.36,0.42,0.06,0.79,296,0,0,11.1,39.6,2025-04-03,90,0,0,0,0,0,0,0,False,18,0,0,0,0,30,0,4918946,1,0,1,40.0,6,-1284774,57115,1341889,108,True,1,182,,,0,2,0.1020345911383628,90,AMC,Chelsea,Tottenham,1,0,26897,2024,716273,0.5761683583259583,1,2,0,0.1020345911383628,0.7367419600486755,0.0585390068590641,8497,Chelsea,Cole Palmer,Cole Palmer,MID
29,0,0,1,0,5.1,182,0.03,0.23,0.2,0.66,302,0,0,1.6,0.0,2025-04-06,31,0,0,0,0,0,0,0,False,4,0,0,0,0,31,0,4684487,0,0,0,13.0,1,-249633,69133,318766,107,False,0,182,,,0,3,0.2024209946393966,29,Sub,Brentford,Chelsea,0,0,26903,2024,717476,0.0,0,0,0,0.2024209946393966,0.25566166639328,0.1339087486267089,8497,Chelsea,Cole Palmer,Cole Palmer,MID
