assists_x,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,date,minutes,mng_clean_sheets,mng_draw,mng_goals_scored,mng_loss,mng_underdog_draw,mng_underdog_win,mng_win,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,id,season,roster_id,xA,assists_y,key_passes,npg,npxG,xGChain,xGBuildup,player_team
24,1,0,19,1,16.1,23,0.2,0.42,0.22,0.17,245,0,0,7.3,22.0,2025-02-15,88,0,0,0,0,0,0,0,False,11,0,0,0,0,25,0,361714,1,2,0,35.0,6,87223,111030,23807,68,False,0,0,1,0.3436542451381683,90,FW,Leicester,Arsenal,0,2,26846,2024,705959,0.5364933609962463,1,1,0,0.3436542451381683,0.8801475763320923,0.0,Arsenal
25,0,0,12,0,39.2,23,0.22,0.53,0.31,1.07,251,1,0,8.9,6.2,2025-02-22,90,0,0,0,0,0,0,0,False,19,0,0,0,0,26,0,418546,1,1,0,44.0,2,61512,81756,20244,69,True,0,0,5,0.2640749514102936,90,FWL,Arsenal,West Ham,0,1,26853,2024,707770,0.1942960023880005,0,3,0,0.2640749514102936,0.6722734570503235,0.4307727515697479,Arsenal
26,0,0,13,1,50.3,23,0.07,0.11,0.04,0.4,264,0,0,7.6,10.6,2025-02-26,90,0,0,0,0,0,0,0,False,16,0,0,0,0,27,0,363213,1,0,0,15.0,3,-53280,10057,63337,69,False,0,0,2,0.0681801363825798,90,FWL,Nottingham Forest,Arsenal,0,0,26864,2024,709167,0.2002576738595962,0,4,0,0.0681801363825798,0.3664606213569641,0.136858731508255,Arsenal
27,0,0,7,0,26.6,23,0.09,0.73,0.64,1.52,276,1,0,6.3,4.8,2025-03-09,90,0,0,0,0,0,0,0,False,14,0,0,0,0,28,0,350179,1,1,1,32.0,1,-15105,18521,33626,68,False,1,0,6,0.6663646697998047,90,FWL,Manchester United,Arsenal,1,1,26877,2024,712205,0.1253962814807891,0,2,0,0.6663646697998047,0.7654076218605042,0.5026467442512512,Arsenal
28,0,0,9,1,7.2,23,0.06,0.28,0.22,0.36,281,0,0,2.2,0.0,2025-03-16,90,0,0,0,0,0,0,0,False,6,0,0,0,0,29,0,378244,1,0,1,16.0,3,9460,27589,18129,68,True,0,0,3,0.178801417350769,90,FWL,Arsenal,Chelsea,1,0,26883,2024,713664,0.0,0,0,0,0.178801417350769,0.3745929300785064,0.1957914978265762,Arsenal
29,0,0,3,0,0.3,23,0.0,0.0,0.0,0.75,291,1,0,0.4,2.0,2025-04-01,13,0,0,0,0,0,0,0,False,9,0,0,0,0,30,0,338751,0,1,2,2.0,1,-22818,17245,40063,68,True,0,0,0,0.0,9,Sub,Arsenal,Fulham,2,1,26892,2024,715952,0.0,0,0,0,0.0,0.0,0.0,Arsenal
30,0,2,28,0,4.3,23,0.02,0.34,0.32,1.09,304,1,1,10.1,33.0,2025-04-05,90,0,0,0,0,0,0,0,False,8,0,0,0,0,31,0,302006,1,1,1,64.0,9,-36619,4986,41605,68,False,0,1,3,0.4745396077632904,90,FW,Everton,Arsenal,1,1,26905,2024,716508,0.0,0,0,1,0.4745396077632904,0.6261154413223267,0.1865659356117248,Arsenal
31,0,0,13,0,16.8,23,0.1,0.24,0.14,0.24,311,1,0,4.4,5.8,2025-04-12,90,0,0,0,0,0,0,0,False,4,0,0,0,0,32,0,323759,1,1,1,21.0,2,20299,37351,17052,67,True,0,0,3,0.0545027032494545,90,FW,Arsenal,Brentford,1,1,26913,2024,718787,0.0434425510466098,0,1,0,0.0545027032494545,0.1720977276563644,0.1119579970836639,Arsenal
32,0,3,47,1,14.8,23,0.26,0.64,0.38,0.13,326,0,2,13.4,65.0,2025-04-20,83,0,0,0,0,0,0,0,False,10,0,0,0,0,33,0,469524,1,4,0,54.0,16,117034,135131,18097,67,False,0,2,4,0.3649629652500152,89,FW,Ipswich,Arsenal,0,4,26927,2024,720997,0.1433698683977127,0,1,2,0.3649629652500152,0.7197950482368469,0.2763527035713196,Arsenal
33,0,1,27,0,3.9,23,0.02,0.66,0.64,1.75,331,2,1,7.4,32.4,2025-04-23,90,0,0,0,0,0,0,0,False,7,0,0,0,0,33,0,469524,1,2,2,38.0,8,117034,135131,18097,67,True,0,1,3,0.9170222878456116,90,FW,Arsenal,Crystal Palace,2,2,26933,2024,722003,0.0,0,0,1,0.9170222878456116,0.253241091966629,0.1529854834079742,Arsenal
34,0,0,8,0,16.0,23,0.18,0.33,0.15,0.97,341,2,0,5.6,8.2,2025-05-03,90,0,0,0,0,0,0,0,False,3,0,0,0,0,35,0,546761,1,2,1,32.0,2,127745,140730,12985,67,True,0,0,2,0.2153698503971099,90,FW,Arsenal,Bournemouth,1,2,26945,2024,724239,0.1330378502607345,0,1,0,0.2153698503971099,0.4286457598209381,0.0802380666136741,Arsenal
35,1,2,31,0,29.8,23,0.37,0.67,0.3,2.19,354,2,0,8.2,27.0,2025-05-11,77,0,0,0,0,0,0,0,False,12,0,0,0,0,36,0,475214,1,2,2,25.0,7,-63641,24626,88267,68,False,0,0,2,0.1685641556978225,81,FW,Liverpool,Arsenal,2,2,26952,2024,726779,0.6857402920722961,1,2,0,0.1685641556978225,0.9928176403045654,0.1385132074356079,Arsenal
36,0,0,11,1,15.8,23,0.05,0.1,0.05,1.64,361,0,0,3.9,12.4,2025-05-18,87,0,0,0,0,0,0,0,False,15,0,0,0,0,37,0,418031,1,0,1,11.0,3,-58221,9889,68110,68,True,0,0,1,0.1040164455771446,88,FW,Arsenal,Newcastle United,1,0,26962,2024,728567,0.0600548759102821,0,1,0,0.1040164455771446,0.2685578763484955,0.2085030078887939,Arsenal
37,1,0,11,0,12.6,23,0.02,0.12,0.1,0.0,378,0,0,3.8,18.0,2025-05-25,27,0,0,0,0,0,0,0,False,17,0,0,0,0,38,0,527977,0,2,1,7.0,4,98260,120957,22697,67,False,0,0,1,0.0856678113341331,26,Sub,Southampton,Arsenal,1,2,26977,2024,730119,0.01969850435853,1,1,0,0.0856678113341331,0.1256081908941269,0.0202418733388185,Arsenal
