,league_id,manager_id,gw,active_chip,automatic_subs,gw_points,total_points,picks,captain,vice_captain,bank
42,2123267,4307475,5,,"[(407, 131), (258, 372), (220, 415)]",50,280,"(263, 407, 103, 203, 220, 143, 108, 308, 19, 258, 355, 148, 372, 131, 415)",19,355,5
43,2123267,4307475,6,,"[(407, 103), (220, 372)]",86,366,"(263, 131, 407, 203, 220, 143, 108, 308, 19, 355, 415, 148, 258, 103, 372)",19,355,5
44,2123267,4307475,7,,[],52,414,"(524, 407, 131, 220, 19, 308, 143, 412, 108, 437, 355, 263, 415, 103, 203)",412,355,2
45,2123267,4307475,8,,"[(197, 131)]",65,479,"(263, 197, 407, 220, 143, 108, 308, 19, 355, 437, 415, 524, 412, 131, 203)",415,355,1
46,2123267,4307475,9,,"[(197, 131), (412, 437)]",64,543,"(263, 197, 407, 220, 143, 108, 308, 19, 412, 355, 415, 524, 437, 131, 203)",415,355,1
47,2123267,4307475,10,,"[(197, 203)]",52,595,"(524, 407, 220, 197, 143, 308, 19, 412, 355, 523, 60, 263, 108, 203, 131)",308,60,0
48,2123267,4307475,11,,[],33,628,"(524, 407, 203, 220, 143, 412, 308, 19, 108, 60, 355, 263, 523, 197, 131)",355,308,0
49,2123267,4307475,12,,[],69,693,"(524, 36, 203, 220, 143, 19, 308, 557, 13, 60, 355, 263, 108, 197, 407)",308,355,1
50,2123267,4307475,13,,"[(341, 203)]",41,730,"(524, 36, 220, 341, 664, 108, 308, 19, 355, 13, 60, 263, 557, 203, 407)",308,355,0
51,2123267,4307475,14,,[],39,769,"(524, 36, 341, 220, 664, 19, 308, 108, 557, 13, 355, 263, 60, 203, 407)",308,355,0
52,2123267,4307475,15,,"[(263, 524), (60, 13)]",48,817,"(263, 36, 341, 220, 664, 108, 308, 19, 557, 355, 60, 524, 13, 203, 407)",308,355,0
53,2123267,4307475,16,wildcard,"[(409, 524), (664, 355)]",53,870,"(409, 584, 260, 197, 412, 308, 143, 557, 664, 415, 60, 524, 355, 506, 220)",355,308,3
54,2123267,4307475,17,,"[(143, 355), (220, 415)]",50,920,"(409, 584, 506, 197, 220, 664, 412, 308, 557, 143, 60, 524, 355, 260, 415)",355,308,3
55,2123267,4307475,18,,"[(260, 584)]",29,949,"(409, 260, 506, 197, 664, 412, 308, 143, 557, 415, 60, 524, 355, 584, 220)",60,308,3
56,2123267,4307475,19,,"[(260, 584), (220, 143)]",46,995,"(409, 260, 506, 197, 220, 664, 412, 308, 557, 415, 60, 524, 355, 584, 143)",308,60,3
57,2123267,4307475,20,,"[(197, 216)]",69,1064,"(524, 584, 506, 220, 197, 664, 412, 308, 557, 343, 60, 409, 216, 260, 355)",343,308,4
