AM_names,AM_odds,contest
Nico O'Reilly AM,6 - 9,Man City v Wolves
Marc Guehi AM,1 - 3,Man City v Wolves
Abdukodir Khusanov AM,0.25 - 1.5,Man City v Wolves
Rayan Cherki AM,27 - 30,Man City v Wolves
Max Alleyne AM,1 - 3,Man City v Wolves
Omar Marmoush AM,12 - 15,Man City v Wolves
Rayan Ait-Nouri AM,7 - 10,Man City v Wolves
Nathan Ake AM,2 - 4,Man City v Wolves
Hwang Hee-chan AM,1 - 3,Man City v Wolves
Mateus Mane AM,6 - 9,Man City v Wolves
Tolu Arokodare AM,2 - 4,Man City v Wolves
Jackson Tchatchoua AM,4 - 7,Man City v Wolves
Joao Gomes AM,0.5 - 2,Man City v Wolves
Ladislav Krejci AM,0.5 - 2,Man City v Wolves
Yerson Mosquera AM,0.25 - 1.5,Man City v Wolves
Emmanuel Agbadou AM,0.5 - 2,Man City v Wolves
Hugo Bueno AM,2.5 - 5,Man City v Wolves
Jorgen Strand Larsen AM,1 - 3,Man City v Wolves
Jhon Arias AM,2.5 - 5,Man City v Wolves
Andre AM,0.25 - 1.5,Man City v Wolves
Ryan Christie AM,4 - 7,Bournemouth v Liverpool
Adrien Truffert AM,4 - 7,Bournemouth v Liverpool
Amine Adli AM,4 - 7,Bournemouth v Liverpool
Lewis Cook AM,3 - 6,Bournemouth v Liverpool
Alejandro Jimenez AM,3 - 6,Bournemouth v Liverpool
Alex Scott AM,2.5 - 5,Bournemouth v Liverpool
Evanilson AM,3 - 6,Bournemouth v Liverpool
Eli Junior Kroupi AM,2.5 - 5,Bournemouth v Liverpool
Marcos Senesi AM,2 - 4,Bournemouth v Liverpool
James Hill AM,1 - 3,Bournemouth v Liverpool
Adam Smith AM,1 - 3,Bournemouth v Liverpool
Veljko Milosavljevic AM,0.5 - 2,Bournemouth v Liverpool
Florian Wirtz AM,13 - 16,Bournemouth v Liverpool
Mohamed Salah AM,13 - 16,Bournemouth v Liverpool
Dominik Szoboszlai AM,10 - 13,Bournemouth v Liverpool
Cody Gakpo AM,9 - 12,Bournemouth v Liverpool
Jeremie Frimpong AM,7 - 10,Bournemouth v Liverpool
Hugo Ekitike AM,7 - 10,Bournemouth v Liverpool
Milos Kerkez AM,4 - 7,Bournemouth v Liverpool
Alexis MacAllister AM,3 - 6,Bournemouth v Liverpool
Curtis Jones AM,2.5 - 5,Bournemouth v Liverpool
Ryan Gravenberch AM,2 - 4,Bournemouth v Liverpool
Virgil van Dijk AM,0.25 - 1.5,Bournemouth v Liverpool
Ibrahima Konate AM,0.25 - 1.5,Bournemouth v Liverpool
Yeremi Pino AM,7 - 10,Crystal Palace v Chelsea
Adam Wharton AM,5 - 8,Crystal Palace v Chelsea
Daniel Munoz AM,5 - 8,Crystal Palace v Chelsea
Ismaila Sarr AM,5 - 8,Crystal Palace v Chelsea
Brennan Johnson AM,4 - 7,Crystal Palace v Chelsea
Tyrick Mitchell AM,4 - 7,Crystal Palace v Chelsea
Jefferson Lerma AM,2.5 - 5,Crystal Palace v Chelsea
Will Hughes AM,3 - 6,Crystal Palace v Chelsea
Eddie Nketiah AM,3 - 6,Crystal Palace v Chelsea
Chrisantus Uche AM,3 - 6,Crystal Palace v Chelsea
Nathaniel Clyne AM,2.5 - 5,Crystal Palace v Chelsea
Justin Devenny AM,2.5 - 5,Crystal Palace v Chelsea
Jean-Philippe Mateta AM,2.5 - 5,Crystal Palace v Chelsea
Pedro Neto AM,11 - 14,Crystal Palace v Chelsea
Reece James AM,10 - 13,Crystal Palace v Chelsea
Cole Palmer AM,9 - 12,Crystal Palace v Chelsea
Estevao AM,9 - 12,Crystal Palace v Chelsea
Alejandro Garnacho AM,8 - 11,Crystal Palace v Chelsea
Enzo Fernandez AM,8 - 11,Crystal Palace v Chelsea
Jamie Gittens AM,7 - 10,Crystal Palace v Chelsea
Joao Pedro AM,5 - 8,Crystal Palace v Chelsea
Marc Cucurella AM,4 - 7,Crystal Palace v Chelsea
Moises Caicedo AM,2.5 - 5,Crystal Palace v Chelsea
Liam Delap AM,2.5 - 5,Crystal Palace v Chelsea
Marc Guiu AM,2.5 - 5,Crystal Palace v Chelsea
Harvey Barnes AM,10 - 13,Newcastle v Aston Villa
Kieran Trippier AM,10 - 13,Newcastle v Aston Villa
Anthony Gordon AM,8 - 11,Newcastle v Aston Villa
Anthony Elanga AM,8 - 11,Newcastle v Aston Villa
Lewis Hall AM,8 - 11,Newcastle v Aston Villa
Lewis Miley AM,7 - 10,Newcastle v Aston Villa
Sandro Tonali AM,7 - 10,Newcastle v Aston Villa
Jacob Ramsey AM,6 - 9,Newcastle v Aston Villa
Bruno Guimaraes AM,6 - 9,Newcastle v Aston Villa
Nick Woltemade AM,5 - 8,Newcastle v Aston Villa
Joe Willock AM,4 - 7,Newcastle v Aston Villa
Yoane Wissa AM,3 - 6,Newcastle v Aston Villa
Joelinton AM,2.5 - 5,Newcastle v Aston Villa
Malick Thiaw AM,1 - 3,Newcastle v Aston Villa
Sven Botman AM,1 - 3,Newcastle v Aston Villa
Emiliano Buendia AM,12 - 15,Newcastle v Aston Villa
Jadon Sancho AM,9 - 12,Newcastle v Aston Villa
Morgan Rogers AM,7 - 10,Newcastle v Aston Villa
Ian Maatsen AM,6 - 9,Newcastle v Aston Villa
Youri Tielemans AM,6 - 9,Newcastle v Aston Villa
Lucas Digne AM,5 - 8,Newcastle v Aston Villa
Evann Guessand AM,4 - 7,Newcastle v Aston Villa
Matty Cash AM,4 - 7,Newcastle v Aston Villa
Ollie Watkins AM,4 - 7,Newcastle v Aston Villa
Amadou Onana AM,1 - 3,Newcastle v Aston Villa
Pau Torres AM,0.5 - 2,Newcastle v Aston Villa
Ezri Konsa AM,0.5 - 2,Newcastle v Aston Villa
Lamare Bogarde AM,0.5 - 2,Newcastle v Aston Villa
Victor Lindelof AM,0.5 - 2,Newcastle v Aston Villa
Dwight McNeil AM,9 - 12,Everton v Leeds
Nathan Patterson AM,8 - 11,Everton v Leeds
James Garner AM,5 - 8,Everton v Leeds
Iliman Ndiaye AM,4 - 7,Everton v Leeds
Merlin Rohl AM,2.5 - 5,Everton v Leeds
Carlos Alcaraz AM,2.5 - 5,Everton v Leeds
Harrison Armstrong AM,2 - 4,Everton v Leeds
Vitaliy Mykolenko AM,2 - 4,Everton v Leeds
Idrissa Gueye AM,2 - 4,Everton v Leeds
Thierno Barry AM,1 - 3,Everton v Leeds
Tyler Dibling AM,1 - 3,Everton v Leeds
James Tarkowski AM,1 - 3,Everton v Leeds
Beto AM,1 - 3,Everton v Leeds
Jake O'Brien AM,0.5 - 2,Everton v Leeds
Brenden Aaronson AM,7 - 10,Everton v Leeds
Anton Stach AM,7 - 10,Everton v Leeds
Noah Okafor AM,5 - 8,Everton v Leeds
Wilfried Gnonto AM,4 - 7,Everton v Leeds
Gabriel Gudmondsson AM,4 - 7,Everton v Leeds
Jayden Bogle AM,3 - 6,Everton v Leeds
James Justin AM,2 - 4,Everton v Leeds
Dominic Calvert-Lewin AM,1 - 3,Everton v Leeds
Ilia Gruev AM,1 - 3,Everton v Leeds
Ethan Ampadu AM,1 - 3,Everton v Leeds
Lukas Nmecha AM,0.5 - 2,Everton v Leeds
Pascal Struijk AM,0.1 - 1,Everton v Leeds
Joe Rodon AM,0.1 - 1,Everton v Leeds
Sebastiaan Bornauw AM,0.1 - 1,Everton v Leeds
